date,open,high,close,low,volumn,amount
2015-06-25,20.00,20.00,18.70,18.50,55676160.0,1079999488.0
2015-06-24,19.92,20.15,19.93,19.21,59323156.0,1173516928.0
2015-06-23,19.75,20.21,19.75,18.11,56945908.0,1102595840.0
2015-06-19,21.70,21.70,19.51,19.51,58988300.0,1214626944.0
2015-06-18,22.31,22.73,21.68,21.66,56643156.0,1261008640.0
2015-06-17,22.36,22.78,22.56,21.52,56991448.0,1270781184.0
2015-06-16,23.30,23.30,22.34,21.94,82219344.0,1853423488.0
2015-06-15,24.11,24.94,23.50,23.50,117048128.0,2846725888.0
2015-06-12,22.95,24.32,23.90,22.63,131971824.0,3097776640.0
2015-06-11,22.30,23.19,22.80,22.10,97497792.0,2221844224.0
2015-06-10,22.49,22.67,22.36,22.03,77005672.0,1724402432.0
2015-06-09,22.25,22.77,22.68,21.91,102048240.0,2284396288.0
2015-06-08,22.43,22.43,22.08,21.33,90225584.0,1982305920.0
2015-06-05,22.88,22.98,22.50,21.71,101228632.0,2279459584.0
2015-06-04,22.25,22.85,22.23,20.13,84802760.0,1852118912.0
2015-06-03,21.95,22.89,22.09,21.52,82782768.0,1839866240.0
2015-06-02,21.01,22.09,21.90,20.85,78355792.0,1686522752.0
2015-06-01,20.01,21.11,21.00,19.99,78422112.0,1615670528.0
2015-05-29,20.90,21.32,20.22,19.58,81022736.0,1655432704.0
2015-05-28,23.00,23.68,21.13,21.13,108786256.0,2453053440.0
2015-05-27,22.09,23.90,23.48,21.29,130225360.0,2927019264.0
2015-05-26,21.61,22.09,21.85,21.02,101579824.0,2186972928.0
2015-05-25,20.87,21.78,21.49,20.87,94107048.0,2005978368.0
2015-05-22,20.36,21.10,20.86,20.36,80224400.0,1673869184.0
2015-05-21,20.06,20.59,20.30,19.97,53687856.0,1088024192.0
2015-05-20,20.40,20.87,20.06,19.91,62086272.0,1272444928.0
2015-05-19,19.68,20.35,20.24,19.40,57937548.0,1157910528.0
2015-05-18,19.20,19.78,19.55,19.00,55924112.0,1085272192.0
2015-05-15,19.90,19.95,19.27,19.12,47156904.0,915467648.0
2015-05-14,20.36,20.45,19.80,19.46,88150592.0,1744175360.0
2015-05-13,20.50,20.89,20.55,20.04,61468684.0,1261758464.0
2015-05-12,20.56,21.29,20.44,20.23,70980456.0,1469734144.0
2015-05-11,20.05,20.66,20.36,19.70,67727944.0,1373472896.0
2015-05-08,19.80,20.10,19.77,19.11,77755680.0,1517705344.0
2015-05-07,21.88,22.04,19.89,19.89,92372848.0,1887314304.0
2015-05-06,21.83,22.98,22.10,21.50,62035036.0,1386551808.0
2015-05-05,22.80,22.80,21.80,21.11,60387892.0,1332805248.0
2015-05-04,22.38,22.67,22.37,21.59,57245016.0,1260482432.0
2015-04-30,21.12,22.88,22.38,21.12,101607408.0,2224862208.0
2015-04-29,20.15,21.86,21.07,19.85,84151632.0,1750251648.0
2015-04-28,20.74,20.75,19.93,19.58,67213472.0,1348090752.0
2015-04-27,21.18,21.38,20.50,20.10,86323008.0,1784194048.0
2015-04-24,21.00,21.68,21.09,20.59,95932528.0,2020948736.0
2015-04-23,19.04,20.93,20.93,19.04,127921928.0,2598950912.0
2015-04-22,18.49,19.23,19.03,18.33,79109576.0,1496885504.0
2015-04-21,17.91,18.34,18.29,17.91,51371880.0,933157824.0
2015-04-20,18.49,18.58,17.89,17.80,86785528.0,1583480576.0
2015-04-17,18.21,18.79,18.61,18.12,81225432.0,1492754176.0
2015-04-16,17.99,18.48,18.20,17.80,50047432.0,911338112.0
2015-04-15,18.60,18.92,18.20,17.76,67199120.0,1237010816.0
2015-04-14,18.66,18.99,18.47,18.29,56590372.0,1049358848.0
2015-04-13,19.10,19.29,18.76,18.61,63291320.0,1198922624.0
2015-04-10,18.72,19.29,18.78,18.50,74504608.0,1407593984.0
2015-04-09,18.77,18.90,18.31,17.60,72662000.0,1332401536.0
2015-04-08,18.25,18.39,17.95,17.52,68237512.0,1228376704.0
2015-04-07,18.30,18.90,18.27,18.00,77852592.0,1429480704.0
2015-04-03,17.47,18.37,18.18,17.38,81372840.0,1455852800.0
2015-04-02,17.85,17.98,17.59,17.33,58385888.0,1029118464.0
2015-04-01,16.99,18.23,17.73,16.95,103332592.0,1820654592.0
2015-03-31,16.83,17.04,16.70,16.51,68189312.0,1145734016.0
2015-03-30,16.83,16.88,16.65,16.45,65458816.0,1091436160.0
2015-03-27,16.26,16.54,16.49,16.02,42522152.0,694220160.0
2015-03-26,16.18,16.58,16.19,15.90,48874344.0,793741184.0
2015-03-25,16.48,16.48,16.21,16.09,53009188.0,862158848.0
2015-03-24,16.68,16.85,16.58,16.00,82877240.0,1364801792.0
2015-03-23,16.66,16.83,16.61,16.40,78895904.0,1314814080.0
2015-03-20,16.58,16.76,16.61,16.18,60351776.0,991283904.0
2015-03-19,16.61,16.95,16.61,16.42,54666148.0,911457280.0
2015-03-18,16.51,16.71,16.61,16.41,55244628.0,916457024.0
2015-03-17,16.20,17.16,16.74,15.90,90776320.0,1485011456.0
2015-03-16,15.93,16.38,16.20,15.84,57029084.0,918060096.0
2015-03-13,15.85,16.08,15.88,15.56,40205008.0,635284480.0
2015-03-12,15.97,16.10,15.63,15.48,39834316.0,626896064.0
2015-03-11,16.16,16.30,15.88,15.80,54393352.0,870176640.0
2015-03-10,15.19,16.66,16.11,15.18,96467040.0,1548346880.0
2015-03-09,15.05,15.35,15.15,14.80,43946440.0,664500672.0
2015-03-06,15.81,15.87,15.12,15.05,53117848.0,815583040.0
2015-03-05,15.32,15.90,15.61,15.29,82168912.0,1281818112.0
2015-03-04,14.80,15.48,15.26,14.80,66071400.0,1001477440.0
2015-03-03,15.46,15.62,14.84,14.81,76010512.0,1152137600.0
2015-03-02,15.32,15.66,15.46,15.16,82659552.0,1270445696.0
2015-02-27,14.89,15.33,15.16,14.88,60059976.0,909013696.0
2015-02-26,15.18,15.35,14.94,14.84,65393880.0,983742528.0
2015-02-25,15.00,15.80,15.28,14.85,113452256.0,1743416832.0
2015-02-17,14.99,15.30,14.91,14.58,136214656.0,2031786368.0
2015-02-16,13.28,14.47,14.47,13.20,81801800.0,1146560000.0
2015-02-13,12.90,13.28,13.15,12.90,37625836.0,493552448.0
2015-02-12,12.93,13.04,12.85,12.84,21351948.0,276251968.0
2015-02-11,12.95,13.08,12.80,12.80,14441850.0,186847120.0
2015-02-10,12.67,13.03,12.88,12.65,22285924.0,287333632.0
2015-02-09,12.85,12.95,12.67,12.65,15410832.0,197334976.0
2015-02-06,12.85,12.92,12.90,12.50,30766770.0,391465312.0
2015-02-05,13.49,13.50,12.92,12.87,29307284.0,386074368.0
2015-02-04,13.16,13.43,13.20,13.02,31330184.0,414438368.0
2015-02-03,12.98,13.18,13.10,12.93,26227096.0,342964320.0
2015-02-02,12.96,13.05,12.82,12.75,27408378.0,352726208.0
2015-01-30,13.58,13.68,13.07,13.05,44153360.0,587961408.0
2015-01-29,13.46,13.69,13.57,13.27,40875880.0,552345600.0
2015-01-28,13.49,13.75,13.48,13.36,44147924.0,598224512.0
2015-01-27,13.50,13.60,13.46,13.22,41646016.0,559565696.0
2015-01-26,13.25,13.48,13.41,13.13,32442060.0,432119968.0
2015-01-23,13.42,13.60,13.20,13.15,29144954.0,388170880.0
2015-01-22,13.17,13.66,13.42,13.11,49577912.0,665054464.0
2015-01-21,12.93,13.28,13.19,12.87,38018732.0,497160960.0
2015-01-20,12.61,13.07,13.02,12.50,44360680.0,566935104.0
2015-01-19,12.86,13.06,12.49,12.10,44337468.0,561132672.0
2015-01-16,13.24,13.38,13.26,13.13,26686558.0,353732256.0
2015-01-15,13.12,13.25,13.20,13.00,25357512.0,332026336.0
2015-01-14,13.22,13.36,13.16,13.05,23279868.0,307554368.0
2015-01-13,12.80,13.55,13.22,12.80,33986524.0,449479552.0
2015-01-12,12.88,12.94,12.80,12.63,23011898.0,293727456.0
2015-01-09,13.30,13.32,12.98,12.96,42551848.0,558643456.0
2015-01-08,13.33,13.66,13.35,13.31,40941320.0,550908992.0
2015-01-07,13.88,14.21,13.33,13.33,72803736.0,997404608.0
2014-12-26,12.89,12.96,12.95,12.63,28370060.0,364045024.0
2014-12-25,12.80,12.99,12.90,12.75,25230222.0,324067456.0
2014-12-24,12.58,12.82,12.78,12.55,22747048.0,288058336.0
2014-12-23,12.57,12.94,12.51,12.37,24067708.0,305643616.0
2014-12-22,13.29,13.29,12.60,12.26,48942120.0,619985216.0
2014-12-19,13.72,13.83,13.37,13.05,52955036.0,707769088.0
2014-12-18,13.84,14.15,13.84,13.80,33488492.0,467991520.0
2014-12-17,14.33,14.57,13.84,13.73,56430004.0,795706944.0
2014-12-16,14.55,14.58,14.32,14.25,56002808.0,804437312.0
2014-12-15,14.51,15.13,14.65,14.33,109329024.0,1609499648.0
2014-12-12,13.76,14.24,14.15,13.60,72251312.0,1012270016.0
2014-12-11,13.59,13.95,13.70,13.46,47626264.0,652727040.0
2014-12-10,13.10,13.79,13.66,13.10,55920040.0,757642752.0
2014-12-09,13.38,14.00,13.02,12.98,85369744.0,1161770368.0
2014-12-08,13.35,13.50,13.32,13.03,58041272.0,772086592.0
2014-12-05,14.15,14.30,13.35,13.23,69843152.0,955248128.0
2014-12-04,13.85,14.20,13.95,13.68,83611520.0,1163803520.0
2014-12-03,13.40,13.98,13.94,13.30,104185864.0,1421052288.0
2014-12-02,13.00,13.50,13.36,12.95,58472604.0,775771328.0
2014-12-01,13.32,13.32,13.00,12.92,38761080.0,507015904.0
2014-11-28,13.11,13.50,13.32,12.86,69590176.0,923649664.0
2014-11-27,13.10,13.25,13.11,12.93,42803432.0,559479360.0
2014-11-26,13.25,13.31,13.06,12.83,46343476.0,605020224.0
2014-11-25,13.07,13.15,13.02,12.90,39603832.0,515526624.0
2014-11-24,12.45,13.01,12.92,12.45,57966944.0,737793920.0
2014-11-21,12.47,12.49,12.37,12.29,19574908.0,242271520.0
2014-11-20,12.35,12.51,12.37,12.26,14567452.0,180448848.0
2014-11-19,12.45,12.67,12.47,12.40,20058832.0,251050400.0
2014-11-18,12.21,12.60,12.50,12.21,26292124.0,326500096.0
2014-11-17,12.33,12.36,12.18,12.11,18642852.0,228137200.0
2014-11-14,12.16,12.34,12.29,12.14,18002032.0,220478944.0
2014-11-13,12.53,12.58,12.16,12.10,29917648.0,365842976.0
2014-11-12,12.44,12.61,12.53,12.29,18423348.0,229930784.0
2014-11-11,13.00,13.24,12.44,12.41,44233464.0,567388672.0
2014-11-10,13.01,13.07,13.01,12.92,21213452.0,275429280.0
2014-11-07,13.27,13.28,13.00,12.93,30499410.0,400494240.0
2014-11-06,13.27,13.40,13.28,12.99,34682484.0,457705824.0
