公告日期,送股(股),转增(股),派息(税前)(元),进度,除权除息日,股权登记日,红股上市日,查看详细
2015-04-07,0.0,2,1.74,实施,2015-04-13,2015-04-10,--,查看
2014-06-06,0.0,2,1.6,实施,2014-06-12,2014-06-11,--,查看
2013-06-14,6.0,0,1.7,实施,2013-06-20,2013-06-19,--,查看
2012-10-12,0.0,0,1.0,实施,2012-10-19,2012-10-18,--,查看
2012-03-09,0.0,0,0.0,不分配,--,--,--,查看
2011-02-25,0.0,0,0.0,不分配,--,--,--,查看
2010-03-12,0.0,0,0.0,不分配,--,--,--,查看
2009-03-20,0.0,0,0.0,不分配,--,--,--,查看
2008-10-24,3.0,0,0.335,实施,2008-10-31,2008-10-30,--,查看
2008-03-20,0.0,0,0.0,不分配,--,--,--,查看
2007-06-14,1.0,0,0.09,实施,2007-06-18,2007-06-15,2007-06-20,查看
2007-03-22,0.0,0,0.0,不分配,--,--,--,查看
2006-04-01,0.0,0,0.0,不分配,--,--,--,查看
2005-06-18,0.0,0,0.0,不分配,--,--,--,查看
2003-09-23,0.0,0,1.5,实施,2003-09-29,2003-09-26,--,查看
2002-07-17,0.0,0,1.5,实施,2002-07-23,2002-07-22,--,查看
1999-10-16,0.0,0,6.0,实施,1999-10-18,1999-10-15,--,查看
1997-08-19,5.0,0,2.0,实施,1997-08-25,1997-08-22,1997-08-27,查看
1996-05-23,5.0,5,0.0,实施,1996-05-27,1996-05-24,1996-05-29,查看
1995-09-15,2.0,0,3.0,实施,1995-09-25,1995-09-22,1995-09-27,查看
1994-07-02,3.0,2,5.0,实施,1994-07-11,1994-07-08,1994-07-14,查看
1993-05-09,3.5,5,3.0,实施,1993-05-24,1993-05-21,1993-05-24,查看
1991-03-03,4.0,0,3.0,实施,1991-04-03,1991-03-12,--,查看
1900-01-01,3.0,0,0.0,实施,1991-08-17,--,--,查看
公告日期,配股方案(每10股配股股数),配股价格(元),基准股本(万股),除权日,股权登记日,缴款起始日,缴款终止日,配股上市日,募集资金合计(元),查看详细
2000-10-23,3,8,1551850000,2000-11-06,2000-11-03,2000-11-07 00:00:00,2000-11-20,2000-12-08,,查看
1994-01-09,1,5,404127000,1994-07-09,1994-07-08,1994-07-28 00:00:00,1994-08-10,1994-08-22,,查看
1993-05-07,1,16,0,1993-05-24,1993-05-21,1993-06-14 00:00:00,1993-07-02,1993-07-05,,查看
