date,open,high,low,close,volumn
2015-05-25,16.02,16.38,16.02,16.27,273036960.0
2015-05-22,15.59,15.98,15.51,15.95,262190784.0
2015-05-21,15.49,15.57,15.31,15.48,140584656.0
2015-05-20,15.69,15.83,15.29,15.43,258966688.0
2015-05-19,14.87,15.43,14.75,15.28,191781264.0
2015-05-18,14.9,15.04,14.67,14.88,153708416.0
2015-05-15,15.49,15.56,14.97,15.14,175271648.0
2015-05-14,15.68,15.73,15.38,15.57,143802768.0
2015-05-13,15.86,15.93,15.43,15.56,175656160.0
2015-05-12,15.66,15.86,15.34,15.64,198965552.0
2015-05-11,15.49,15.8,15.18,15.71,212307728.0
2015-05-08,15.4,15.66,15.19,15.53,137446848.0
2015-05-07,15.41,15.56,15.19,15.36,125870752.0
2015-05-06,15.51,15.98,15.18,15.41,194991104.0
2015-05-05,16.08,16.19,15.19,15.54,229934176.0
2015-05-04,16.37,16.37,15.96,16.19,142757504.0
2015-04-30,16.5,16.92,16.35,16.37,289063552.0
2015-04-29,16.33,16.42,15.88,16.32,215118832.0
2015-04-28,16.12,17.03,15.9,16.37,476354400.0
2015-04-27,15.89,16.27,15.88,16.09,246056352.0
2015-04-24,15.98,16.18,15.69,15.82,244283696.0
2015-04-23,16.64,16.7,16.23,16.33,231968832.0
2015-04-22,16.25,16.64,16.17,16.61,277314176.0
2015-04-21,16.0,16.37,15.66,16.23,241593696.0
2015-04-20,16.76,16.86,15.84,15.98,344725728.0
2015-04-17,17.15,17.15,16.47,16.59,260952336.0
2015-04-16,16.02,16.76,15.93,16.66,246740720.0
2015-04-15,15.98,16.94,15.78,16.32,341764192.0
2015-04-14,16.17,16.17,15.78,15.98,247237504.0
2015-04-13,16.66,16.82,15.83,16.21,480715328.0
2015-04-10,14.57,16.03,14.45,16.03,334020992.0
2015-04-09,14.53,15.42,14.36,14.57,317306336.0
2015-04-08,13.71,14.64,13.48,14.51,337164640.0
2015-04-07,13.08,13.73,13.08,13.61,296047232.0
2015-04-03,12.71,12.91,12.64,12.83,143494128.0
2015-04-02,13.03,13.07,12.65,12.79,140583744.0
2015-04-01,12.81,13.07,12.59,12.92,164331648.0
2015-03-31,12.99,13.44,12.66,12.75,273318336.0
2015-03-30,12.33,12.91,12.23,12.68,258261376.0
2015-03-27,12.23,12.38,12.03,12.21,104763888.0
2015-03-26,12.03,12.49,11.91,12.23,148789152.0
2015-03-25,12.37,12.4,12.06,12.07,159146800.0
2015-03-24,12.49,12.62,12.32,12.43,155919344.0
2015-03-23,12.41,12.6,12.41,12.49,178205584.0
2015-03-20,12.3,12.59,12.19,12.4,197639440.0
2015-03-19,12.53,12.53,12.24,12.3,158030032.0
2015-03-18,12.44,12.61,12.38,12.56,183100064.0
2015-03-17,12.56,12.79,12.35,12.47,195984192.0
2015-03-16,12.23,12.55,12.08,12.48,221847248.0
2015-03-13,12.06,12.64,11.98,12.14,316398848.0
2015-03-12,11.5,12.11,11.4,11.82,330513728.0
2015-03-11,11.17,11.4,11.17,11.22,90335416.0
2015-03-10,11.34,11.43,11.15,11.15,138570624.0
2015-03-09,10.91,11.61,10.78,11.46,220532368.0
2015-03-06,10.83,10.94,10.81,10.88,55704776.0
2015-03-05,10.93,10.95,10.76,10.83,82860488.0
2015-03-04,11.03,11.11,10.93,10.99,81497304.0
2015-03-03,11.32,11.32,11.0,11.01,105947632.0
2015-03-02,11.36,11.41,11.23,11.36,101879696.0
2015-02-27,11.38,11.46,11.3,11.33,79357016.0
2015-02-26,11.17,11.4,11.01,11.39,102554424.0
2015-02-25,11.37,11.38,11.14,11.17,57739232.0
2015-02-17,11.3,11.42,11.28,11.33,68049160.0
2015-02-16,11.29,11.34,11.12,11.27,72120240.0
2015-02-13,11.28,11.48,11.21,11.29,88774312.0
2015-02-12,11.13,11.25,11.03,11.22,60871568.0
2015-02-11,11.16,11.21,11.08,11.12,55434952.0
2015-02-10,10.92,11.19,10.87,11.15,72487536.0
2015-02-09,10.93,11.08,10.7,10.95,94658624.0
2015-02-06,11.08,11.29,10.85,10.94,103040856.0
2015-02-05,11.58,11.68,11.14,11.17,191372912.0
2015-02-04,11.34,11.37,11.09,11.1,80762312.0
2015-02-03,11.16,11.33,11.03,11.29,88334912.0
2015-02-02,11.01,11.17,10.97,11.04,86093216.0
2015-01-30,11.28,11.43,11.14,11.28,93011672.0
2015-01-29,11.19,11.34,11.13,11.25,101675328.0
2015-01-28,11.23,11.58,11.17,11.38,124087752.0
2015-01-27,11.62,11.63,11.2,11.33,133949464.0
2015-01-26,11.63,11.69,11.46,11.61,105760576.0
2015-01-23,11.63,11.85,11.58,11.66,145918192.0
2015-01-22,11.61,11.76,11.46,11.58,125501608.0
2015-01-21,11.24,11.82,11.13,11.68,194053040.0
2015-01-20,11.2,11.38,10.98,11.2,149101808.0
2015-01-19,11.34,11.8,11.2,11.2,213712368.0
2015-01-16,12.47,12.65,12.29,12.44,155584640.0
2015-01-15,12.02,12.43,11.91,12.43,124217032.0
2015-01-14,11.97,12.31,11.9,11.99,126302960.0
2015-01-13,11.86,12.06,11.83,11.89,81687480.0
2015-01-12,12.04,12.19,11.74,11.96,155329088.0
2015-01-09,12.06,12.85,11.91,12.21,250850016.0
2015-01-08,12.55,12.61,12.06,12.11,140771424.0
2015-01-07,12.6,12.82,12.39,12.53,170012064.0
2015-01-06,12.83,13.27,12.59,12.78,216642144.0
2015-01-05,12.95,13.18,12.63,12.97,286043648.0
2014-12-31,12.64,12.86,12.39,12.83,240006576.0
2014-12-30,12.09,12.62,12.04,12.55,236607840.0
2014-12-29,12.64,13.0,11.94,12.08,258614816.0
2014-12-26,11.83,12.29,11.76,12.23,243707328.0
2014-12-25,11.62,11.94,11.37,11.89,199727584.0
2014-12-24,11.93,12.02,11.08,11.39,201027104.0
2014-12-23,12.14,12.37,11.74,11.94,179785072.0
2014-12-22,12.06,13.08,11.99,12.42,346739136.0
2014-12-19,12.0,12.3,11.69,12.15,193540576.0
2014-12-18,12.48,12.59,11.82,12.06,247025088.0
2014-12-17,11.66,12.69,11.5,12.44,440016608.0
2014-12-16,10.93,11.65,10.88,11.65,246907296.0
2014-12-15,11.13,11.13,10.74,11.0,180093664.0
2014-12-12,11.25,11.5,11.08,11.29,164390912.0
2014-12-11,11.18,11.8,11.08,11.27,223799568.0
2014-12-10,11.01,11.63,10.54,11.49,352784416.0
2014-12-09,12.11,12.57,11.1,11.1,404542016.0
2014-12-08,11.51,12.55,11.34,12.33,392834240.0
2014-12-05,11.38,12.33,10.95,11.76,441369728.0
2014-12-04,10.64,11.31,10.44,11.3,345018080.0
2014-12-03,10.62,11.25,10.29,10.61,399753024.0
2014-12-02,9.83,10.85,9.78,10.62,349041152.0
2014-12-01,10.2,10.56,9.84,9.87,446521376.0
2014-11-28,9.12,10.07,9.05,10.07,484483936.0
2014-11-27,9.19,9.32,9.0,9.16,210385664.0
2014-11-26,8.9,9.21,8.84,9.08,218491872.0
2014-11-25,8.7,8.92,8.66,8.89,156780272.0
2014-11-24,8.59,8.87,8.52,8.73,222736848.0
2014-11-21,8.6,8.79,8.5,8.74,114673200.0
2014-11-20,8.57,8.66,8.5,8.61,68354464.0
2014-11-19,8.58,8.63,8.53,8.61,59165676.0
2014-11-18,8.7,8.75,8.55,8.59,93029648.0
2014-11-17,8.87,8.9,8.67,8.71,88959448.0
2014-11-14,8.91,8.91,8.74,8.85,90152664.0
2014-11-13,9.05,9.2,8.93,8.95,134038424.0
2014-11-12,9.06,9.08,8.9,9.07,138946256.0
2014-11-11,9.0,9.42,8.96,9.12,298139072.0
2014-11-10,8.95,9.11,8.79,9.02,162134848.0
2014-11-07,8.75,9.21,8.72,8.83,223436928.0
2014-11-06,8.76,8.83,8.7,8.78,64512384.0
2014-11-05,8.78,8.87,8.63,8.76,128587680.0
2014-11-04,9.03,9.05,8.73,8.78,131899208.0
2014-11-03,9.04,9.12,8.89,9.0,191683472.0
2014-10-31,8.5,9.19,8.47,8.93,359308416.0
2014-10-30,8.35,8.54,8.27,8.44,152063312.0
2014-10-29,8.25,8.4,8.21,8.34,106527616.0
2014-10-28,8.14,8.25,8.14,8.23,53065096.0
2014-10-27,8.18,8.2,8.08,8.11,72956880.0
2014-10-24,8.36,8.38,8.22,8.24,82098912.0
2014-10-23,8.19,8.37,8.19,8.29,158547968.0
2014-10-22,8.16,8.25,8.15,8.18,55946012.0
2014-10-21,8.21,8.23,8.15,8.17,48632320.0
2014-10-20,8.22,8.25,8.17,8.23,61117048.0
2014-10-17,8.26,8.27,8.15,8.19,70051112.0
2014-10-16,8.18,8.38,8.16,8.26,132373552.0
2014-10-15,8.19,8.24,8.11,8.23,59765984.0
2014-10-14,8.17,8.26,8.15,8.19,57588336.0
2014-10-13,8.19,8.21,8.13,8.18,51987540.0
2014-10-10,8.23,8.26,8.2,8.23,65934904.0
2014-10-09,8.31,8.33,8.23,8.26,66239360.0
2014-10-08,8.23,8.31,8.21,8.31,67468720.0
2014-09-30,8.21,8.23,8.18,8.21,48398244.0
2014-09-29,8.21,8.25,8.17,8.19,60535872.0
2014-09-26,8.23,8.23,8.15,8.19,45363332.0
2014-09-25,8.36,8.36,8.22,8.24,67716736.0
2014-09-24,8.15,8.34,8.13,8.32,76055288.0
2014-09-23,8.15,8.21,8.14,8.18,46215800.0
2014-09-22,8.36,8.37,8.11,8.15,79019168.0
2014-09-19,8.34,8.42,8.31,8.4,57075420.0
2014-09-18,8.27,8.47,8.24,8.36,76830912.0
2014-09-17,8.34,8.38,8.26,8.31,55674796.0
2014-09-16,8.36,8.47,8.29,8.3,82834048.0
2014-09-15,8.36,8.36,8.3,8.35,51541836.0
2014-09-12,8.4,8.4,8.32,8.4,40865436.0
2014-09-11,8.36,8.54,8.34,8.4,71346128.0
2014-09-10,8.42,8.43,8.35,8.36,53159332.0
2014-09-09,8.54,8.57,8.44,8.47,56669760.0
2014-09-05,8.54,8.61,8.5,8.56,59787808.0
2014-09-04,8.5,8.54,8.4,8.54,62815852.0
2014-09-03,8.48,8.57,8.44,8.5,76692880.0
2014-09-02,8.38,8.49,8.29,8.46,78800496.0
2014-09-01,8.29,8.36,8.23,8.34,48778216.0
2014-08-29,8.22,8.3,8.21,8.3,34372640.0
2014-08-28,8.29,8.3,8.21,8.22,43896984.0
2014-08-27,8.25,8.41,8.23,8.29,57314684.0
2014-08-26,8.25,8.32,8.21,8.25,46116512.0
2014-08-25,8.38,8.38,8.24,8.27,50943444.0
2014-08-22,8.33,8.43,8.31,8.38,48156176.0
