公告日期,送股(股),转增(股),派息(税前)(元),进度,除权除息日,股权登记日,红股上市日,查看详细
2015-03-31,0.0,0,5.0,预案,--,--,--,查看
2014-04-28,0.0,0,4.1,实施,2014-05-08,2014-05-07,--,查看
2013-05-08,0.0,0,1.8,实施,2013-05-16,2013-05-15,--,查看
2012-06-27,0.0,0,1.3,实施,2012-07-05,2012-07-04,--,查看
2011-05-20,0.0,0,1.0,实施,2011-05-27,2011-05-26,--,查看
2010-05-10,0.0,0,0.7,实施,2010-05-18,2010-05-17,--,查看
2009-05-27,0.0,0,0.5,实施,2009-06-08,2009-06-05,--,查看
2008-06-05,0.0,6,1.0,实施,2008-06-16,2008-06-13,2008-06-16,查看
2007-05-09,0.0,5,1.5,实施,2007-05-16,2007-05-15,2007-05-16,查看
2006-07-14,0.0,0,1.5,实施,2006-07-21,2006-07-20,--,查看
2005-06-21,0.0,5,1.5,实施,2005-06-29,2005-06-28,2005-06-29,查看
2004-05-14,1.0,4,0.5,实施,2004-05-26,2004-05-25,2004-05-26,查看
2003-05-19,0.0,10,2.0,实施,2003-05-23,2003-05-22,2003-05-23,查看
2002-07-10,0.0,0,2.0,实施,2002-07-17,2002-07-16,--,查看
2001-08-14,0.0,0,1.8,实施,2001-08-21,2001-08-20,--,查看
2000-08-10,0.0,0,1.5,实施,2000-08-17,2000-08-16,--,查看
1999-07-29,1.0,0,1.0,实施,1999-08-06,1999-08-05,1999-08-10,查看
1998-07-04,1.0,0,1.5,实施,1998-07-10,1998-07-09,1998-07-14,查看
1997-06-19,1.5,0,1.0,实施,1997-06-27,1997-06-26,1997-07-03,查看
1996-07-19,1.0,0,1.4,实施,1996-08-06,1996-08-05,1996-08-08,查看
1995-06-22,1.5,0,1.5,实施,1995-07-04,1995-07-03,1995-07-06,查看
1994-06-02,3.5,0,1.5,实施,1994-06-21,1994-06-20,1994-06-24,查看
1993-03-25,5.0,0,0.6,实施,1993-04-05,1993-04-02,1993-04-05,查看
1992-06-30,2.0,0,0.0,实施,1992-03-30,1992-03-27,--,查看
1991-05-27,2.0,0,0.0,实施,1991-06-08,1991-05-27,--,查看
公告日期,配股方案(每10股配股股数),配股价格(元),基准股本(万股),除权日,股权登记日,缴款起始日,缴款终止日,配股上市日,募集资金合计(元),查看详细
1999-12-22,2.727,7.5,545537000,2000-01-10,2000-01-07,2000-01-11 00:00:00,2000-01-24,2000-02-16,,查看
1997-06-26,2.37,4.5,364605000,1997-07-14,1997-07-11,1997-07-16 00:00:00,1997-07-29,1997-08-22,,查看
1900-01-01,5.0,4.4,0,1991-06-08,1991-05-27,1991-05-28 00:00:00,1991-06-08,1900-01-01,,查看
