date,open,high,low,close,volumn
2015-05-25,14.53,15.13,14.53,15.02,446567008.0
2015-05-22,14.21,14.58,14.15,14.49,380124512.0
2015-05-21,14.08,14.3,13.91,14.15,254051024.0
2015-05-20,14.18,14.38,13.98,14.05,305594112.0
2015-05-19,13.88,14.26,13.8,14.16,258179776.0
2015-05-18,13.99,13.99,13.7,13.84,236527104.0
2015-05-15,14.71,14.78,13.99,14.16,339140800.0
2015-05-14,14.9,15.6,14.53,14.59,778625344.0
2015-05-13,13.93,14.92,13.73,14.7,580546112.0
2015-05-12,14.04,14.04,13.83,13.92,254732800.0
2015-05-11,14.0,14.1,13.81,14.07,365307488.0
2015-05-08,13.7,13.81,13.47,13.8,197857504.0
2015-05-07,13.54,13.78,13.48,13.61,175422288.0
2015-05-06,13.83,14.05,13.41,13.56,252171904.0
2015-05-05,14.61,14.63,13.62,13.77,328552416.0
2015-05-04,14.62,14.79,14.4,14.55,309176800.0
2015-04-30,14.33,14.93,14.21,14.6,541148608.0
2015-04-29,14.07,14.43,13.93,14.24,277332896.0
2015-04-28,14.65,14.66,14.11,14.19,386603904.0
2015-04-27,14.41,14.7,14.3,14.7,422562016.0
2015-04-24,14.48,14.7,14.15,14.42,362066176.0
2015-04-23,15.15,15.25,14.65,14.76,471733120.0
2015-04-22,14.5,14.92,14.41,14.88,446876288.0
2015-04-21,14.16,14.55,14.02,14.48,374324320.0
2015-04-20,14.78,15.1,14.19,14.21,593316480.0
2015-04-17,14.52,14.92,14.31,14.67,584609280.0
2015-04-16,13.84,14.3,13.77,14.3,334623328.0
2015-04-15,14.1,14.18,13.81,13.9,278402272.0
2015-04-14,14.33,14.46,14.0,14.12,327676000.0
2015-04-13,14.42,14.62,14.22,14.37,407430560.0
2015-04-10,14.28,14.47,14.07,14.32,424894208.0
2015-04-09,13.83,14.82,13.51,14.64,717154688.0
2015-04-08,13.72,13.92,13.41,13.82,448981504.0
2015-04-07,13.48,13.73,13.37,13.72,375319488.0
2015-04-03,13.41,13.48,13.19,13.45,356563200.0
2015-04-02,13.76,13.92,13.43,13.59,319924640.0
2015-04-01,13.73,13.86,13.47,13.72,375803456.0
2015-03-31,14.85,14.97,13.65,13.82,748147392.0
2015-03-30,13.4,14.48,13.18,14.24,636164800.0
2015-03-27,13.18,13.35,13.02,13.35,344158976.0
2015-03-26,12.69,13.05,12.57,12.95,209000768.0
2015-03-25,13.04,13.04,12.69,12.78,207376128.0
2015-03-24,13.37,13.38,12.86,13.05,265616944.0
2015-03-23,13.3,13.65,13.26,13.36,331361184.0
2015-03-20,12.95,13.35,12.78,13.14,349401632.0
2015-03-19,13.08,13.08,12.76,12.87,212978896.0
2015-03-18,12.65,13.2,12.65,13.14,289546784.0
2015-03-17,12.59,12.74,12.51,12.63,212834912.0
2015-03-16,12.36,12.53,12.26,12.49,175378176.0
2015-03-13,12.27,12.4,12.16,12.23,133406976.0
2015-03-12,12.06,12.29,11.96,12.22,181872848.0
2015-03-11,12.02,12.2,11.87,11.93,115373368.0
2015-03-10,12.09,12.16,11.97,12.02,107710984.0
2015-03-09,11.8,12.36,11.53,12.22,204422896.0
2015-03-06,11.9,12.13,11.88,11.94,110503680.0
2015-03-05,12.09,12.16,11.81,11.9,179378688.0
2015-03-04,12.2,12.38,12.04,12.22,164713760.0
2015-03-03,12.62,12.63,12.16,12.2,236553536.0
2015-03-02,13.02,13.1,12.63,12.77,322563392.0
2015-02-27,12.77,12.97,12.69,12.75,124631864.0
2015-02-26,12.4,12.85,12.35,12.85,173376272.0
2015-02-25,12.77,12.77,12.33,12.4,149805184.0
2015-02-17,12.71,12.83,12.62,12.77,119878312.0
2015-02-16,12.66,12.76,12.53,12.64,130814480.0
2015-02-13,12.54,13.01,12.33,12.76,196804320.0
2015-02-12,12.41,12.55,12.2,12.47,89526728.0
2015-02-11,12.5,12.64,12.34,12.41,87832920.0
2015-02-10,12.11,12.47,12.05,12.42,107745648.0
2015-02-09,12.03,12.33,11.74,12.18,127802408.0
2015-02-06,12.62,12.62,11.98,12.16,316318656.0
2015-02-05,13.39,13.53,12.68,12.7,316036064.0
2015-02-04,12.9,13.16,12.77,12.8,166087200.0
2015-02-03,12.91,13.13,12.3,12.96,293687168.0
2015-02-02,12.79,13.39,12.48,12.88,197676080.0
2015-01-30,13.09,13.49,12.8,13.12,209624704.0
2015-01-29,12.7,13.17,12.62,13.01,146830320.0
2015-01-28,13.11,13.27,12.88,13.0,156174320.0
2015-01-27,13.67,13.72,12.86,13.18,280401856.0
2015-01-26,13.99,14.0,13.44,13.7,216268528.0
2015-01-23,13.57,14.09,13.3,13.92,331040864.0
2015-01-22,13.02,13.65,12.92,13.58,322472736.0
2015-01-21,12.33,13.2,12.1,13.05,355529408.0
2015-01-20,12.2,12.6,12.06,12.35,291468864.0
2015-01-19,12.5,12.9,12.17,12.17,360362560.0
2015-01-16,13.77,13.77,13.39,13.52,212947600.0
2015-01-15,13.13,13.83,13.0,13.77,242968672.0
2015-01-14,13.07,13.3,12.87,13.1,164681808.0
2015-01-13,13.05,13.38,12.97,13.07,166461040.0
2015-01-12,13.32,13.32,12.75,13.12,243634144.0
2015-01-09,13.54,14.22,13.29,13.45,329458432.0
2015-01-08,14.32,14.37,13.46,13.59,263939424.0
2015-01-07,14.26,14.5,14.0,14.23,264205136.0
2015-01-06,14.6,14.99,14.05,14.36,334634688.0
2015-01-05,14.39,15.29,14.22,14.91,656083584.0
2014-12-31,12.6,13.9,12.46,13.9,489954464.0
2014-12-30,12.45,13.15,12.19,12.64,386124416.0
2014-12-29,12.03,12.86,11.88,12.43,543748352.0
2014-12-26,11.23,11.81,11.18,11.78,257646240.0
2014-12-25,11.08,11.28,10.94,11.22,161341120.0
2014-12-24,11.72,11.75,10.93,11.03,271519360.0
2014-12-23,11.7,12.2,11.35,11.75,286011904.0
2014-12-22,11.5,12.18,11.31,11.72,276651520.0
2014-12-19,11.62,11.63,11.18,11.48,182246096.0
2014-12-18,12.01,12.28,11.55,11.62,241689312.0
2014-12-17,11.5,11.96,11.26,11.93,305553408.0
2014-12-16,11.22,11.53,11.08,11.53,203807936.0
2014-12-15,11.55,11.56,11.08,11.3,167788368.0
2014-12-12,12.03,12.15,11.5,11.69,131025888.0
2014-12-11,11.8,12.45,11.68,12.03,184410096.0
2014-12-10,11.58,12.08,11.26,11.95,267254912.0
