・变动日期,2015-03-31,2015-02-27,2015-01-30,2014-12-31,2014-09-30,2014-08-29,2014-06-30,2014-06-25,2014-06-17,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-06-30,2011-12-31,2011-06-30,2010-12-31,2010-06-30,2009-12-29,2009-06-30,2008-12-31,2008-06-19,2008-06-16,2007-12-27,2007-12-06,2007-09-05,2007-05-21,2007-05-16,2006-12-27,2006-12-06,2006-09-04,2006-04-04,2006-04-03,2006-03-31,2006-03-16,2006-02-20,2005-12-31,2005-12-02,2005-11-04,2005-10-27,2005-09-29,2005-07-05,2005-07-05,2005-06-29,2005-06-28,2005-06-17,2004-05-31,2004-05-26,2004-04-22,2004-04-19,2004-04-13,2004-03-31,2004-03-04,2003-12-31,2003-09-30,2003-08-31,2003-06-30,2003-05-30,2003-05-28,2003-05-23,2002-12-31,2001-03-01,2000-02-16,1999-08-11,1999-08-10,1998-12-02,1998-07-15,1998-07-14,1997-08-22,1997-08-22,1997-07-07,1997-07-03,1996-08-09,1996-08-08,1995-12-31,1995-07-10,1995-07-06,1994-06-27,1994-06-24,1993-05-28,1993-04-05,1992-03-30,1991-06-08,1991-01-29
・公告日期,2015-04-27,2015-03-03,2015-03-03,2015-03-31,2014-10-27,2014-09-19,2014-08-18,2014-06-23,2014-06-23,2014-03-07,2013-10-30,2013-08-07,2013-04-23,2013-02-28,2012-08-07,2012-03-13,2011-08-09,2011-03-08,2010-08-10,2009-12-26,2009-08-04,2009-03-10,2008-06-05,2008-06-05,2007-12-25,2007-12-05,2007-09-04,2007-05-09,2007-05-09,2006-12-26,2006-12-05,2006-09-06,2006-04-06,2006-04-05,2006-04-04,2006-03-21,2006-02-22,2006-03-21,2005-12-01,2005-12-01,2005-10-31,2005-10-10,2005-08-01,2005-08-01,2005-08-01,2005-08-01,2005-06-21,,1900-01-01,2004-04-30,2004-04-22,2004-04-16,2004-04-02,2004-03-09,2004-01-06,2003-10-11,2003-09-09,2003-07-04,2003-06-09,,,2003-03-18,1900-01-01,,,,,,,1900-01-01,1900-01-01,,1900-01-01,,1900-01-01,,1900-01-01,1900-01-01,1900-01-01,1900-01-01,,1900-01-01,1900-01-01,1900-01-01,1900-01-01
・股本结构图,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
・变动原因,定期报告,股权激励,股权激励,定期报告,定期报告,股权激励,定期报告,股份性质变动,股权激励,定期报告,定期报告,定期报告,定期报告,定期报告,定期报告,定期报告,定期报告,定期报告,定期报告,其它上市,定期报告,定期报告,送、转股,送、转股,其它上市,其它上市,增发,送、转股,送、转股,增发,其它上市,权证行权,债转股,债转股,债转股,债转股,债转股,债转股,股权分置,债转股,债转股,债转股,送、转股,债转股,送、转股,债转股,债转股,送、转股,送、转股,债转股,债转股,债转股,债转股,债转股,债转股,债转股,债转股,债转股,债转股,送、转股,送、转股,债转股,定期报告,配股,送、转股,送、转股,其它上市,送、转股,送、转股,配股,配股,送、转股,送、转股,送、转股,送、转股,定期报告,送、转股,送、转股,送、转股,送、转股,增发,送、转股,送、转股,送、转股,IPO
・总股本,1104610.808万股,1104564.757万股,1104125.807万股,1103750.724万股,1101706.597万股,1101586.182万股,1101502.712万股,1101502.642万股,1101502.642万股,1101496.892万股,1101487.212万股,1101372.497万股,1100675.756万股,1099555.312万股,1099521.022万股,1099521.022万股,1099521.022万股,1099521.022万股,1099521.022万股,1099521.022万股,1099521.022万股,1099521.022万股,1099521.022万股,1050210.192万股,687200.639万股,687200.639万股,687200.639万股,655484.813万股,628089.907万股,436989.875万股,396989.875万股,396989.875万股,396989.875万股,393717.084万股,393696.481万股,391896.098万股,377847.992万股,372268.767万股,372052.761万股,372052.761万股,355093.378万股,341102.005万股,341097.071万股,341097.178万股,322833.801万股,227398.047万股,227396.409万股,227362.787万股,215187.274万股,151575.191万股,151536.254万股,151496.675万股,150128.321万股,147772.498万股,139584.944万股,139479.595万股,138568.006万股,138338.66万股,136540.566万股,126194.943万股,114019.429万股,63097.471万股,63097.194万股,63097.194万股,54553.748万股,53446.883万股,49594.317万股,49594.317万股,48588.076万股,38388.362万股,45085.742万股,36460.48万股,35192.704万股,31704.765万股,31061.719万股,28822.514万股,27939.864万股,27101.109万股,24295.534万股,23203.834万股,18354.692万股,13854.692万股,9236.461万股,7797万股,4133.268万股
  流通股,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    流通A股,971527.813万股,971481.762万股,971042.812万股,970667.73万股,967395.194万股,967274.779万股,967191.309万股,967624.269万股,967624.269万股,967618.519万股,967608.839万股,967494.124万股,967339.942万股,966219.498万股,966203.603万股,966182.837万股,965857.833万股,966088.997万股,965607.991万股,965609.491万股,939209.491万股,939021.765万股,941385.832万股,941385.832万股,588342.594万股,544842.594万股,519848.256万股,488140.586万股,488140.586万股,325425.462万股,325425.462万股,292229.712万股,292231.308万股,288958.516万股,288937.913万股,287137.53万股,273089.425万股,267510.2万股,267294.193万股,267535.751万股,250576.368万股,236584.996万股,236580.042万股,236323.585万股,236323.478万股,157720.028万股,157718.39万股,157684.768万股,157684.768万股,105123.179万股,105084.241万股,105044.662万股,103676.308万股,101320.485万股,93132.932万股,93027.582万股,92115.993万股,91886.647万股,90088.553万股,79742.93万股,79742.93万股,39809.831万股,39809.554万股,39805.939万股,31273.925万股,31328.033万股,28480.03万股,27069.4万股,27069.4万股,19906.561万股,24608.546万股,19906.561万股,19699.81万股,17130.27万股,17130.27万股,15673.282万股,15673.282万股,15673.282万股,13628.941万股,13628.941万股,10173.271万股,10173.271万股,6782.181万股,5709万股,2808.6万股
    高管股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,8.155万股,0万股,0万股,0万股,0万股,241.558万股,241.558万股,241.558万股,241.558万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,256.565万股,256.565万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,61.634万股,61.634万股,65.248万股,54.108万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股
    国家股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,994万股,0万股
    国有法人股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,23737.642万股,23737.642万股,23737.642万股,23737.643万股,23737.643万股,23737.643万股,15825.095万股,15825.095万股,15825.095万股,15825.095万股,10550.064万股,10550.064万股,10550.064万股,10550.064万股,10550.064万股,10550.064万股,10550.064万股,10550.064万股,10550.064万股,10550.064万股,10550.064万股,10550.064万股,5275.032万股,5275.032万股,5275.032万股,5258.694万股,5258.694万股,4780.631万股,4780.631万股,4780.631万股,3513.361万股,4346.028万股,3513.361万股,3513.361万股,3055.097万股,3055.097万股,2777.361万股,2777.361万股,2777.361万股,2415.097万股,2415.097万股,1788.96万股,1788.96万股,1192.64万股,0万股,794.801万股
    境内法人股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,23737.642万股,25989.557万股,25989.557万股,25989.575万股,25989.575万股,25989.575万股,15825.095万股,15825.095万股,15825.095万股,15825.095万股,10550.064万股,10550.064万股,10550.064万股,10550.064万股,10550.064万股,10550.064万股,10550.064万股,10550.064万股,10550.064万股,10550.064万股,10550.064万股,10550.064万股,5275.032万股,5275.032万股,5275.032万股,5258.694万股,5258.694万股,4780.631万股,4780.631万股,4780.631万股,3513.361万股,4346.028万股,3513.361万股,3513.361万股,3055.097万股,3055.097万股,2777.361万股,2777.361万股,2777.361万股,2415.097万股,2415.097万股,1788.96万股,1788.96万股,1192.64万股,0万股,794.801万股
