公告日期,送股(股),转增(股),派息(税前)(元),进度,除权除息日,股权登记日,红股上市日,查看详细
2015-04-30,0,0,0.0,不分配,--,--,--,查看
2014-04-22,0,0,0.0,不分配,--,--,--,查看
2013-04-20,0,0,0.0,不分配,--,--,--,查看
2012-04-21,0,0,0.0,不分配,--,--,--,查看
2011-04-23,0,0,0.0,不分配,--,--,--,查看
2010-04-17,0,0,0.0,不分配,--,--,--,查看
2009-04-20,0,0,0.0,不分配,--,--,--,查看
2008-04-24,0,0,0.0,不分配,--,--,--,查看
2007-04-27,0,0,0.0,不分配,--,--,--,查看
2006-04-20,0,0,0.0,不分配,--,--,--,查看
2005-05-21,0,0,0.0,不分配,--,--,--,查看
2003-06-11,0,0,0.3,实施,2003-06-19,2003-06-18,--,查看
2002-06-18,0,0,0.5,实施,2002-06-24,2002-06-21,--,查看
1995-08-26,1,0,0.6,实施,1995-08-30,1995-08-29,1995-09-01,查看
1994-05-07,3,2,1.0,实施,1994-05-17,1994-05-16,1994-05-20,查看
1993-05-12,3,0,0.8,实施,1993-05-24,1993-05-21,--,查看
1992-04-01,2,0,0.0,实施,1992-04-27,1992-04-24,--,查看
1991-06-30,2,0,0.0,实施,1991-06-28,1991-06-17,--,查看
公告日期,配股方案(每10股配股股数),配股价格(元),基准股本(万股),除权日,股权登记日,缴款起始日,缴款终止日,配股上市日,募集资金合计(元),查看详细
1993-05-12,4,10,0,1993-05-24,1993-05-21,1993-06-14 00:00:00,1993-07-01,1993-06-21,,查看
1900-01-01,7,0,0,1991-06-28,1991-06-17,1900-01-01 00:00:00,1900-01-01,1900-01-01,,查看
