date,open,high,low,close,volumn
2015-05-25,33.87,34.66,33.16,34.5,4192471.0
2015-05-22,34.6,35.26,33.04,34.07,3449905.0
2015-05-21,33.42,34.69,33.38,34.02,3105263.0
2015-05-20,33.81,35.55,32.07,33.18,4029143.0
2015-05-19,31.74,34.55,31.12,33.77,4079416.0
2015-05-18,31.09,33.57,30.66,31.75,4929761.0
2015-05-15,28.64,31.87,28.64,31.39,5484903.0
2015-05-14,28.02,29.62,27.7,29.08,4176308.0
2015-05-13,28.07,28.98,27.73,28.04,3700405.0
2015-05-12,27.65,29.13,25.92,28.59,6807338.0
2015-05-11,25.77,28.04,25.72,27.77,7416236.0
2015-05-08,24.32,25.52,24.32,25.52,2838246.0
2015-05-07,24.87,25.67,23.76,24.19,2417725.0
2015-05-06,24.55,25.51,24.54,24.96,3528663.0
2015-05-05,25.36,25.42,24.46,24.55,2208682.0
2015-05-04,25.01,25.76,24.81,25.43,3267392.0
2015-04-30,25.08,25.62,24.49,25.01,3799773.0
2015-04-29,23.99,24.69,23.77,24.58,2171009.0
2015-04-28,25.43,25.52,23.2,23.98,2666001.0
2015-04-27,26.02,26.26,25.29,25.43,4521235.0
2015-04-24,25.08,26.34,24.78,25.91,6011328.0
2015-04-23,24.78,25.35,24.6,25.35,4020847.0
2015-04-22,24.39,25.06,24.19,24.62,3141184.0
2015-04-21,23.4,24.2,23.31,24.15,1930302.0
2015-04-20,24.4,24.69,22.71,23.44,3120349.0
2015-04-17,24.76,25.66,24.67,24.79,2830780.0
2015-04-16,24.7,25.16,23.7,24.78,2772226.0
2015-04-15,25.28,25.28,24.31,24.8,3237057.0
2015-04-14,28.51,28.51,25.57,25.93,4579134.0
2015-04-13,24.87,26.66,24.64,26.5,5083925.0
2015-04-10,24.19,24.78,23.8,24.63,2123357.0
2015-04-09,24.96,25.02,23.25,24.3,2890523.0
2015-04-08,25.64,25.68,24.54,24.95,4292050.0
2015-04-07,25.53,26.16,25.13,25.63,3273564.0
2015-04-03,25.27,26.17,24.78,25.53,3526988.0
2015-04-02,24.88,26.24,24.37,25.51,4271532.0
2015-04-01,23.6,25.17,23.23,24.88,5530572.0
2015-03-31,23.31,23.9,22.81,23.68,3845056.0
2015-03-30,23.5,23.78,23.06,23.3,3204049.0
2015-03-27,23.07,23.84,21.72,23.8,5685888.0
2015-03-26,23.65,24.69,22.81,22.84,6802088.0
2015-03-25,21.32,23.65,21.18,23.65,11231861.0
2015-03-24,21.39,21.62,19.75,21.5,5665435.0
2015-03-23,21.04,21.69,20.88,21.47,3379766.0
2015-03-20,20.82,21.23,20.75,21.04,2811864.0
2015-03-19,21.15,21.15,20.59,20.88,2270093.0
2015-03-18,21.12,21.38,20.76,21.15,3205359.0
2015-03-17,20.44,21.32,20.12,21.31,5277520.0
2015-03-16,19.13,20.69,19.12,20.43,4633678.0
2015-03-13,19.06,19.13,18.81,19.13,2375890.0
2015-03-12,18.77,19.33,18.76,18.93,2493995.0
2015-03-11,19.13,19.2,18.97,19.14,2015387.0
2015-03-10,18.76,19.11,18.6,19.07,2291955.0
2015-03-09,18.52,18.85,18.08,18.83,2910092.0
2015-03-06,18.99,19.05,18.42,18.51,2624740.0
2015-03-05,19.35,19.44,18.82,18.99,2720352.0
2015-03-04,18.94,19.4,18.92,19.4,2840017.0
2015-03-03,19.24,19.24,18.8,18.94,2115796.0
2015-03-02,18.48,19.31,18.32,19.25,3513797.0
2015-02-27,18.17,18.56,18.09,18.48,2209888.0
2015-02-26,18.03,18.4,18.01,18.15,2014359.0
2015-02-25,17.76,18.13,17.58,18.02,2461427.0
2015-02-17,18.04,18.04,17.63,17.74,1930415.0
2015-02-16,17.64,17.9,17.58,17.8,1441060.0
2015-02-13,17.47,17.72,17.41,17.59,1633422.0
2015-02-12,17.0,17.5,17.0,17.44,1165268.0
2015-02-11,17.01,17.38,16.93,17.1,807280.0
2015-02-10,16.62,17.03,16.57,17.03,624781.0
2015-02-09,16.94,16.94,16.51,16.66,907649.0
2015-02-06,17.43,17.63,16.94,16.96,1187056.0
2015-02-05,17.47,17.87,17.47,17.59,2224305.0
2015-02-04,17.28,17.58,17.18,17.45,1673532.0
2015-02-03,16.93,17.27,16.88,17.18,1278232.0
2015-02-02,16.79,17.32,16.78,16.93,1649889.0
2015-01-30,17.44,17.53,16.96,17.13,1938859.0
2015-01-29,17.54,17.64,17.24,17.47,2164303.0
2015-01-28,17.3,17.62,17.06,17.6,4820778.0
2015-01-27,17.37,17.37,16.88,17.18,2420903.0
2015-01-26,16.92,17.35,16.81,17.12,2205209.0
2015-01-23,17.09,17.16,16.85,16.94,1887268.0
2015-01-22,17.03,17.16,16.84,17.06,2665477.0
2015-01-21,16.54,17.08,16.48,16.98,4144804.0
2015-01-20,15.65,16.51,15.65,16.48,3232345.0
2015-01-19,15.86,16.08,15.43,15.65,2194173.0
2015-01-16,15.91,15.98,15.82,15.94,1654418.0
2015-01-15,15.8,16.13,15.75,15.9,1603350.0
2015-01-14,16.04,16.21,15.9,15.93,1326277.0
2015-01-13,15.55,16.07,15.5,16.05,2578108.0
2015-01-12,16.09,16.09,15.56,15.7,1654717.0
2015-01-09,16.71,16.74,16.06,16.22,2715044.0
2015-01-08,16.2,16.82,16.04,16.71,3645003.0
2015-01-07,16.24,16.33,15.91,16.2,2073761.0
2015-01-06,15.45,16.35,15.3,16.25,3337859.0
2015-01-05,15.38,15.7,15.11,15.49,2809512.0
2014-12-31,15.15,15.46,15.06,15.37,1643543.0
2014-12-30,15.5,15.5,15.09,15.16,1919450.0
2014-12-29,16.32,16.32,15.06,15.6,3393185.0
2014-12-26,16.27,16.46,16.1,16.33,1912622.0
2014-12-25,16.05,16.53,15.86,16.25,2713728.0
2014-12-24,15.75,16.16,15.45,16.13,4182906.0
2014-12-23,16.13,16.42,15.06,15.47,4081129.0
2014-12-22,17.77,17.77,16.09,16.13,2349488.0
2014-12-19,18.68,18.68,17.75,17.83,1985663.0
2014-12-18,18.61,18.83,18.45,18.69,1215375.0
2014-12-17,19.25,19.25,18.42,18.61,2254250.0
2014-12-16,19.6,19.67,19.16,19.27,1932129.0
2014-12-15,19.06,19.6,18.56,19.6,2784495.0
2014-12-12,18.92,19.35,18.67,19.08,2258180.0
2014-12-11,18.62,18.91,18.48,18.91,2050495.0
2014-12-10,17.84,18.73,17.66,18.62,3244701.0
2014-12-09,19.26,19.26,17.84,17.84,4726262.0
2014-12-08,20.08,20.29,19.14,19.33,4972875.0
2014-12-05,21.51,21.51,19.87,20.21,4554897.0
2014-12-04,20.83,21.72,20.63,21.56,3254617.0
2014-12-03,21.24,21.24,20.39,21.01,3834272.0
2014-12-02,20.89,21.39,20.84,21.25,2880336.0
2014-12-01,21.79,22.06,20.74,20.95,3569452.0
2014-11-28,22.27,22.27,21.39,22.12,4044128.0
2014-11-27,22.3,22.6,21.51,22.3,4534798.0
2014-11-26,23.53,23.94,21.89,22.22,5276939.0
2014-11-25,23.31,23.94,23.02,23.65,2311621.0
2014-11-24,22.69,23.68,22.16,23.39,3259224.0
2014-11-21,21.9,22.88,21.87,22.7,2232162.0
2014-11-20,22.27,23.08,21.73,22.1,3139752.0
2014-11-19,21.09,22.63,20.93,22.51,5104322.0
2014-11-18,21.27,21.4,20.81,21.08,815889.0
2014-11-17,20.74,21.33,20.44,21.24,2387212.0
2014-11-14,20.74,21.28,20.59,20.74,2883711.0
2014-11-13,21.15,21.72,20.64,20.86,1911792.0
2014-11-12,20.79,21.31,20.52,21.06,2619798.0
2014-11-11,21.78,21.78,20.66,21.19,3300580.0
2014-11-10,20.97,21.88,20.97,21.88,3283860.0
2014-11-07,21.23,21.61,20.82,21.23,3042955.0
2014-11-06,21.15,21.52,20.83,21.23,3054702.0
2014-11-05,21.48,21.71,21.11,21.16,2860526.0
2014-11-04,21.66,21.87,21.48,21.6,2085915.0
2014-11-03,22.1,22.22,21.14,21.6,4110342.0
2014-10-31,22.42,22.73,21.92,22.08,2563636.0
2014-10-30,22.02,23.25,21.53,22.4,6628507.0
2014-10-29,20.7,22.26,20.7,22.11,8414486.0
2014-10-28,20.39,21.1,20.39,20.84,3319507.0
2014-10-27,19.83,20.55,19.55,20.5,2582136.0
2014-10-24,19.5,19.93,19.3,19.77,1897348.0
2014-10-23,19.8,19.85,19.12,19.23,2358256.0
2014-10-22,20.47,20.66,19.78,19.8,3380106.0
2014-10-21,20.79,21.23,20.52,20.64,2713259.0
2014-10-20,20.14,20.99,19.64,20.83,3758823.0
2014-10-17,20.25,21.23,20.24,20.51,3992061.0
2014-10-16,20.83,21.43,20.54,20.59,3628357.0
2014-10-15,21.04,21.56,20.77,20.98,4884078.0
2014-10-14,20.8,22.0,20.74,21.49,8529663.0
2014-10-13,19.8,20.69,19.35,20.69,7168401.0
2014-10-10,19.25,20.73,19.25,19.94,8830792.0
2014-10-09,18.66,19.1,18.6,18.95,4622068.0
2014-10-08,18.49,19.03,18.46,18.83,4462311.0
2014-09-30,18.76,18.77,18.36,18.48,5172560.0
2014-09-29,18.37,19.09,18.37,18.88,9277680.0
2014-09-26,18.27,18.43,18.13,18.33,3624975.0
2014-09-25,18.5,18.53,18.1,18.25,5530557.0
2014-09-24,18.27,18.6,18.23,18.53,5173997.0
2014-09-23,18.67,19.14,18.18,18.52,6868422.0
2014-09-22,18.28,19.13,18.28,18.92,7743171.0
2014-09-19,19.26,19.35,18.56,18.95,10573982.0
2014-09-18,18.76,20.01,18.74,19.45,18874680.0
2014-09-17,16.86,18.2,16.77,18.2,12131102.0
2014-09-16,16.54,16.54,16.54,16.54,576390.0
2014-09-05,14.96,15.19,14.85,15.04,5579049.0
2014-09-04,15.28,15.45,15.1,15.31,3070844.0
2014-09-03,14.84,15.35,14.83,15.22,5254002.0
2014-09-02,14.75,14.91,14.64,14.83,3252937.0
2014-09-01,14.37,14.76,14.33,14.73,2998506.0
2014-08-29,14.27,14.35,14.16,14.33,895580.0
2014-08-28,14.38,14.48,14.24,14.27,993750.0
2014-08-27,14.17,14.74,14.13,14.38,1328650.0
2014-08-26,14.69,14.7,14.12,14.2,2205477.0
2014-08-25,14.76,14.77,14.59,14.65,1636744.0
2014-08-22,14.61,14.8,14.54,14.76,3396450.0
2014-08-21,14.62,14.91,14.61,14.74,3273872.0
2014-08-20,14.67,14.71,14.54,14.62,2226926.0
2014-08-19,14.63,14.7,14.5,14.69,2330869.0
2014-08-18,14.38,14.6,14.38,14.58,3008960.0
2014-08-15,14.25,14.41,14.25,14.38,1693658.0
2014-08-14,14.4,14.4,14.25,14.3,2540298.0
2014-08-13,14.28,14.47,14.22,14.43,4403735.0
2014-08-12,14.56,14.79,14.22,14.41,10882330.0
2014-08-11,14.99,15.45,14.87,15.26,1993386.0
2014-08-08,14.6,15.09,14.54,14.99,1697598.0
2014-08-07,14.69,14.79,14.51,14.54,924164.0
2014-08-06,14.66,14.86,14.55,14.8,1339741.0
2014-08-05,14.82,14.88,14.56,14.77,1067445.0
2014-08-04,14.61,14.8,14.43,14.72,2271618.0
2014-08-01,14.38,15.01,14.26,14.67,4059405.0
2014-07-31,14.12,14.49,14.12,14.43,2070741.0
2014-07-30,14.09,14.23,13.93,14.15,1853020.0
2014-07-29,14.01,14.1,13.9,14.09,1299725.0
2014-07-28,13.97,14.05,13.9,14.02,2088896.0
2014-07-25,13.75,13.98,13.72,13.97,1028963.0
2014-07-24,13.91,13.91,13.62,13.73,1407645.0
2014-07-23,14.17,14.17,13.82,13.91,1614046.0
2014-07-22,14.12,14.27,14.02,14.17,1379297.0
2014-07-21,13.84,14.19,13.84,14.09,1241897.0
2014-07-18,13.82,14.0,13.76,13.89,839259.0
2014-07-17,13.81,13.88,13.7,13.82,852080.0
2014-07-16,13.91,14.04,13.72,13.82,817694.0
2014-07-15,14.07,14.08,13.8,13.91,1628143.0
2014-07-14,14.03,14.14,13.98,14.13,1146227.0
2014-07-11,13.72,14.08,13.68,14.03,1745436.0
2014-07-10,13.72,13.86,13.65,13.72,1333190.0
2014-07-09,14.21,14.25,13.61,13.7,1763643.0
2014-07-08,14.03,14.31,13.97,14.15,1680321.0
2014-07-07,14.05,14.05,13.88,14.02,1068404.0
2014-07-04,13.96,14.12,13.8,14.01,1849213.0
2014-07-03,13.78,13.94,13.63,13.93,1879109.0
2014-07-02,13.72,13.81,13.65,13.77,1081139.0
2014-07-01,13.69,13.8,13.58,13.72,858600.0
2014-06-30,13.71,13.91,13.55,13.71,1392382.0
2014-06-27,13.41,13.74,13.28,13.71,1803359.0
2014-06-26,13.26,13.46,13.22,13.41,1374340.0
2014-06-25,13.22,13.27,13.15,13.23,446874.0
2014-06-24,13.13,13.35,13.13,13.22,1171228.0
2014-06-23,12.9,13.21,12.9,13.13,630557.0
2014-06-20,12.74,13.03,12.74,13.02,611338.0
2014-06-19,13.01,13.13,12.69,12.78,765740.0
2014-06-18,13.21,13.36,13.0,13.03,769034.0
2014-06-17,13.36,13.5,13.23,13.23,1008575.0
2014-06-16,13.29,13.43,13.19,13.42,1444655.0
2014-06-13,13.06,13.28,13.05,13.2,789661.0
2014-06-12,13.24,13.32,13.07,13.11,951028.0
2014-06-11,13.22,13.41,13.18,13.24,979097.0
2014-06-10,13.41,13.41,13.15,13.35,966990.0
2014-06-09,13.23,13.56,13.18,13.34,1713574.0
2014-06-06,13.16,13.33,13.01,13.33,1294529.0
2014-06-05,12.85,13.19,12.83,13.1,1546371.0
2014-06-04,12.95,13.03,12.79,12.89,908209.0
2014-06-03,12.99,13.14,12.84,13.0,1450342.0
2014-05-30,12.74,12.99,12.72,12.98,1167261.0
2014-05-29,12.97,12.97,12.75,12.76,1178748.0
2014-05-28,12.59,12.93,12.59,12.89,1211019.0
2014-05-27,12.92,12.95,12.71,12.76,1547147.0
2014-05-26,12.84,12.95,12.8,12.95,1046122.0
2014-05-23,12.63,12.93,12.63,12.83,1000789.0
2014-05-22,12.64,12.84,12.58,12.71,1140762.0
2014-05-21,12.54,12.72,12.36,12.67,797483.0
2014-05-20,12.51,12.65,12.51,12.59,745356.0
2014-05-19,12.54,12.54,12.37,12.51,544670.0
2014-05-16,12.34,12.56,12.19,12.49,891219.0
2014-05-15,12.57,12.74,12.39,12.41,1131254.0
2014-05-14,12.74,12.81,12.54,12.57,1124070.0
2014-05-13,12.72,12.92,12.64,12.74,1473068.0
2014-05-12,12.52,13.55,12.37,12.87,3131188.0
2014-05-09,12.7,12.7,12.19,12.36,3395107.0
2014-05-08,12.73,12.89,12.52,12.75,4438900.0
2014-05-07,13.81,14.02,12.88,12.88,4155818.0
2014-05-06,13.65,14.61,13.61,13.76,4188745.0
2014-05-05,13.33,13.63,13.15,13.61,1825838.0
2014-04-30,12.78,13.79,12.74,13.29,1863639.0
2014-04-29,12.32,12.87,12.15,12.78,1066162.0
2014-04-28,13.22,13.3,11.91,12.32,1700972.0
2014-04-25,13.09,13.31,13.01,13.22,1172026.0
2014-04-24,13.07,13.16,12.92,13.16,936688.0
2014-04-23,12.94,13.13,12.93,13.07,976874.0
2014-04-22,12.96,13.1,12.88,12.94,1105670.0
2014-04-21,13.31,13.32,12.94,12.97,858410.0
2014-04-18,13.34,13.44,13.29,13.4,805395.0
2014-04-17,13.02,13.43,13.02,13.43,1729786.0
2014-04-16,12.89,13.14,12.89,13.03,875905.0
2014-04-15,13.31,13.37,12.89,12.91,1854973.0
2014-04-14,13.42,13.48,13.31,13.38,1052822.0
2014-04-11,13.1,13.42,12.93,13.31,1206650.0
2014-04-10,13.12,13.3,13.05,13.1,1072647.0
2014-04-09,12.84,13.14,12.8,13.14,1890826.0
2014-04-08,12.64,12.89,12.52,12.86,951735.0
2014-04-04,12.59,12.7,12.54,12.69,737785.0
2014-04-03,12.59,12.71,12.45,12.59,687348.0
2014-04-02,12.67,12.74,12.51,12.59,574318.0
2014-04-01,12.5,12.72,12.5,12.67,631563.0
2014-03-31,12.84,12.98,12.43,12.61,957083.0
2014-03-28,13.15,13.16,12.54,12.85,1667553.0
2014-03-27,12.84,13.18,12.83,13.17,2576360.0
2014-03-26,12.77,12.93,12.7,12.86,1104265.0
2014-03-25,12.8,12.97,12.69,12.76,1279492.0
2014-03-24,12.64,12.87,12.64,12.8,1717731.0
2014-03-21,12.47,12.76,12.26,12.69,1277533.0
2014-03-20,12.69,12.82,12.46,12.47,1231390.0
2014-03-19,12.83,13.01,12.56,12.69,1441287.0
2014-03-18,12.93,13.01,12.76,12.82,1771615.0
2014-03-17,12.57,12.98,12.44,12.92,2061057.0
2014-03-14,12.55,12.74,12.34,12.5,2339051.0
2014-03-13,12.64,12.89,12.46,12.82,1525108.0
2014-03-12,12.49,12.9,12.39,12.64,2241512.0
2014-03-11,12.84,12.98,12.35,12.52,2611313.0
2014-03-10,13.81,13.81,12.76,12.8,3657229.0
2014-03-07,13.72,13.89,13.7,13.83,2032038.0
2014-03-06,13.72,14.09,13.66,13.79,2252308.0
2014-03-05,13.74,13.91,13.53,13.74,2324842.0
2014-03-04,14.22,14.22,13.72,13.85,3388116.0
2014-03-03,13.97,14.32,13.69,14.3,4109668.0
2014-02-28,14.17,14.41,13.58,13.92,4366656.0
2014-02-27,14.99,15.09,14.22,14.32,7641947.0
2014-02-26,14.32,15.12,13.72,15.09,12300953.0
2014-02-25,13.23,14.45,13.2,14.45,13440675.0
2014-02-24,12.65,13.33,12.54,13.13,3778901.0
2014-02-21,13.82,13.82,12.49,12.91,6452635.0
2014-02-13,12.7,13.33,12.57,13.03,3512377.0
2014-02-12,12.4,12.89,12.34,12.77,2507518.0
2014-02-11,12.44,12.52,12.34,12.4,1548694.0
2014-02-10,12.21,12.59,12.19,12.44,1641433.0
2014-02-07,12.22,12.22,12.01,12.2,907011.0
2014-01-30,12.08,12.26,12.03,12.14,687125.0
2014-01-29,12.15,12.15,11.85,12.13,843831.0
2014-01-28,12.03,12.29,11.98,12.1,734560.0
2014-01-27,12.03,12.3,11.92,12.14,1443334.0
2014-01-24,11.85,12.13,11.76,12.03,1338458.0
2014-01-23,11.77,11.82,11.66,11.82,1006741.0
2014-01-22,11.53,11.82,11.5,11.77,1872058.0
2014-01-21,11.55,11.73,11.55,11.61,822187.0
2014-01-20,11.41,11.74,11.38,11.55,1056438.0
2014-01-17,11.34,11.52,11.28,11.41,719247.0
2014-01-16,11.46,11.52,11.27,11.36,836469.0
2014-01-15,11.31,11.49,11.2,11.46,802989.0
2014-01-14,11.17,11.36,11.13,11.31,1097319.0
2014-01-13,11.01,11.35,11.01,11.17,821020.0
2014-01-10,11.85,11.85,11.16,11.18,1904616.0
2014-01-09,12.09,12.44,11.95,11.99,2251646.0
2014-01-08,12.05,12.31,11.87,12.08,1827213.0
2014-01-07,11.85,12.17,11.66,12.08,2909450.0
2014-01-06,11.62,12.64,11.58,12.14,7046686.0
2014-01-03,11.55,11.82,11.53,11.65,2779842.0
2014-01-02,11.49,11.72,11.31,11.66,971474.0
2013-12-31,11.36,11.54,11.36,11.5,542790.0
2013-12-30,11.4,11.5,11.31,11.43,616550.0
2013-12-27,11.09,11.4,11.04,11.4,840971.0
2013-12-26,11.44,11.44,10.96,11.07,621012.0
2013-12-25,11.35,11.45,11.25,11.45,890632.0
2013-12-24,11.16,11.31,11.08,11.28,648253.0
2013-12-23,11.17,11.4,10.95,11.19,966585.0
2013-12-20,11.04,11.2,10.89,11.19,829744.0
