date,open,high,low,close,volumn
2015-05-25,34.3,35.1,33.58,34.94,4192471.0
2015-05-22,35.04,35.71,33.46,34.5,3449905.0
2015-05-21,33.85,35.13,33.81,34.45,3105263.0
2015-05-20,34.24,36.0,32.48,33.6,4029143.0
2015-05-19,32.14,34.99,31.52,34.2,4079416.0
2015-05-18,31.49,34.0,31.05,32.15,4929761.0
2015-05-15,29.01,32.28,29.01,31.79,5484903.0
2015-05-14,28.38,30.0,28.05,29.45,4176308.0
2015-05-13,28.43,29.35,28.08,28.4,3700405.0
2015-05-12,28.0,29.5,26.25,28.95,6807338.0
2015-05-11,26.1,28.4,26.05,28.12,7416236.0
2015-05-08,24.63,25.85,24.63,25.85,2838246.0
2015-05-07,25.19,26.0,24.06,24.5,2417725.0
2015-05-06,24.86,25.84,24.85,25.28,3528663.0
2015-05-05,25.68,25.74,24.77,24.86,2208682.0
2015-05-04,25.33,26.09,25.13,25.75,3267392.0
2015-04-30,25.4,25.95,24.8,25.33,3799773.0
2015-04-29,24.3,25.0,24.07,24.89,2171009.0
2015-04-28,25.75,25.85,23.5,24.29,2666001.0
2015-04-27,26.35,26.6,25.61,25.75,4521235.0
2015-04-24,25.4,26.68,25.1,26.24,6011328.0
2015-04-23,25.1,25.67,24.91,25.67,4020847.0
2015-04-22,24.7,25.38,24.5,24.93,3141184.0
2015-04-21,23.7,24.51,23.61,24.46,1930302.0
2015-04-20,24.71,25.0,23.0,23.74,3120349.0
2015-04-17,25.08,25.99,24.98,25.11,2830780.0
2015-04-16,25.01,25.48,24.0,25.1,2772226.0
2015-04-15,25.6,25.6,24.62,25.12,3237057.0
2015-04-14,28.87,28.87,25.9,26.26,4579134.0
2015-04-13,25.19,27.0,24.95,26.84,5083925.0
2015-04-10,24.5,25.1,24.1,24.94,2123357.0
2015-04-09,25.28,25.34,23.55,24.61,2890523.0
2015-04-08,25.97,26.01,24.85,25.27,4292050.0
2015-04-07,25.86,26.49,25.45,25.96,3273564.0
2015-04-03,25.59,26.5,25.1,25.86,3526988.0
2015-04-02,25.2,26.57,24.68,25.84,4271532.0
2015-04-01,23.9,25.49,23.53,25.2,5530572.0
2015-03-31,23.61,24.2,23.1,23.98,3845056.0
2015-03-30,23.8,24.08,23.35,23.6,3204049.0
2015-03-27,23.36,24.14,22.0,24.1,5685888.0
2015-03-26,23.95,25.0,23.1,23.13,6802088.0
2015-03-25,21.59,23.95,21.45,23.95,11231861.0
2015-03-24,21.66,21.9,20.0,21.77,5665435.0
2015-03-23,21.31,21.97,21.15,21.74,3379766.0
2015-03-20,21.09,21.5,21.01,21.31,2811864.0
2015-03-19,21.42,21.42,20.85,21.15,2270093.0
2015-03-18,21.39,21.65,21.02,21.42,3205359.0
2015-03-17,20.7,21.59,20.38,21.58,5277520.0
2015-03-16,19.37,20.95,19.36,20.69,4633678.0
2015-03-13,19.3,19.37,19.05,19.37,2375890.0
2015-03-12,19.01,19.58,19.0,19.17,2493995.0
2015-03-11,19.37,19.44,19.21,19.38,2015387.0
2015-03-10,19.0,19.35,18.84,19.31,2291955.0
2015-03-09,18.76,19.09,18.31,19.07,2910092.0
2015-03-06,19.23,19.29,18.65,18.75,2624740.0
2015-03-05,19.6,19.69,19.06,19.23,2720352.0
