・变动日期,2011-12-31,2010-09-17,2009-12-31,2008-12-31,2008-08-29,2007-08-20,2007-05-28,2006-08-18,1995-09-01,1994-09-02,1994-05-20,1993-06-21,1993-05-24,1992-04-27,1991-06-28,1991-01-14
・公告日期,2012-04-21,2010-09-14,2010-04-17,2009-04-20,2008-08-26,2007-08-17,2007-05-22,2006-08-16,,,,1900-01-01,1900-01-01,1900-01-01,1900-01-01,
・股本结构图,,,,,,,,,,,,,,,,
・变动原因,定期报告,其它上市,定期报告,定期报告,其它上市,其它上市,股改追送,股权分置,送、转股,其它上市,送、转股,配股,送、转股,送、转股,送、转股,IPO
・总股本,8397.668万股,8397.668万股,8397.668万股,8397.668万股,8397.668万股,8397.668万股,8397.668万股,8397.668万股,8397.668万股,7634.25万股,7634.25万股,5089.5万股,3802.5万股,2925万股,2437.5万股,1250万股
  流通股,,,,,,,,,,,,,,,,
    流通A股,8387.546万股,8387.718万股,7030.741万股,7030.741万股,7030.741万股,6528.976万股,5411.189万股,5201.704万股,4165.723万股,3787.027万股,3670.027万股,2407.68万股,1841.03万股,1416.177万股,1180.148万股,500万股
    高管股,0万股,0万股,0万股,0万股,0万股,4.251万股,4.251万股,5.45万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股
    限售A股,9.95万股,9.95万股,1366.927万股,1366.927万股,1366.927万股,1864.442万股,2982.229万股,3190.515万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股
    流通B股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股
    限售B股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股
    流通H股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股
    国家股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股
    国有法人股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股
    境内法人股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,3808.226万股,3462.02万股,3462.02万股,2308.016万股,1704.67万股,1311.285万股,1092.737万股,750万股
      境内发起人股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,3808.226万股,3462.02万股,3462.02万股,2308.016万股,1704.67万股,1311.285万股,1092.737万股,750万股
      募集法人股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,423.72万股,385.203万股,385.203万股,256.804万股,256.8万股,197.538万股,164.615万股,0万股
      一般法人股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股
      战略投资者持股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股
      基金持股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股
    转配股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股
    内部职工股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,117万股,117万股,0万股,0万股,0万股,0万股
    优先股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股
