公告日期,送股(股),转增(股),派息(税前)(元),进度,除权除息日,股权登记日,红股上市日,查看详细
2015-04-11,0.0,0.0,0.0,不分配,--,--,--,查看
2014-04-26,0.0,0.0,0.0,不分配,--,--,--,查看
2013-04-24,0.0,0.0,0.0,不分配,--,--,--,查看
2012-04-24,0.0,0.0,0.0,不分配,--,--,--,查看
2011-04-30,0.0,0.0,0.0,不分配,--,--,--,查看
2010-04-30,0.0,0.0,0.0,不分配,--,--,--,查看
2009-04-28,0.0,0.0,0.0,不分配,--,--,--,查看
2008-04-26,0.0,0.0,0.0,不分配,--,--,--,查看
2007-04-30,0.0,0.0,0.0,不分配,--,--,--,查看
2006-07-27,0.0,5.5,0.0,实施,2006-07-31,2006-07-28,2006-07-31,查看
2006-04-28,0.0,0.0,0.0,不分配,--,--,--,查看
2005-05-27,0.0,0.0,0.0,不分配,--,--,--,查看
2001-07-10,0.43719,0.43719,0.11367,实施,2001-07-16,2001-07-13,2001-07-17,查看
2000-08-24,1.0,0.0,0.25,实施,2000-08-31,2000-08-30,2000-09-01,查看
1998-08-15,1.0,4.0,0.0,实施,1998-08-21,1998-08-20,1998-08-25,查看
1997-08-19,0.0,3.0,0.0,实施,1997-08-25,1997-08-22,1997-08-27,查看
1996-08-07,1.5,0.0,0.0,实施,1996-08-13,1996-08-12,1996-08-15,查看
1995-07-18,1.0,0.0,0.0,实施,1995-07-26,1995-07-25,1995-07-28,查看
1994-09-17,3.33333,0.0,0.0,实施,1994-09-23,1994-09-22,1994-09-28,查看
公告日期,配股方案(每10股配股股数),配股价格(元),基准股本(万股),除权日,股权登记日,缴款起始日,缴款终止日,配股上市日,募集资金合计(元),查看详细
2000-12-06,2.72727,4.95,569819000,2000-12-21,2000-12-20,2000-12-22 00:00:00,2001-01-05,2001-02-07,,查看
1994-09-17,10.0,3.0,90000000,1994-09-23,1994-09-22,1994-10-12 00:00:00,1994-10-25,1994-11-04,,查看
