date,open,high,low,close,volumn
2015-05-25,10.65,10.65,10.65,10.65,3214951.0
2015-05-22,9.68,9.68,9.68,9.68,6440549.0
2015-05-21,8.8,8.8,8.8,8.8,1827882.0
2015-05-20,8.0,8.0,8.0,8.0,1104003.0
2015-05-19,7.27,7.27,7.27,7.27,2750202.0
2015-05-18,6.61,6.61,6.61,6.61,1774423.0
2015-05-15,6.01,6.01,6.01,6.01,2084903.0
2015-05-14,5.46,5.46,5.46,5.46,998905.0
2015-05-13,4.96,4.96,4.96,4.96,686171.0
2015-05-12,4.51,4.51,4.51,4.51,485683.0
2015-05-11,4.1,4.1,4.1,4.1,621512.0
2014-12-26,3.63,3.76,3.62,3.73,37572052.0
2014-12-25,3.62,3.67,3.59,3.63,17277596.0
2014-12-24,3.68,3.68,3.54,3.61,20907016.0
2014-12-23,3.61,3.76,3.54,3.63,30177744.0
2014-12-22,3.71,3.71,3.55,3.58,39007152.0
2014-12-19,3.74,3.89,3.55,3.73,56351948.0
2014-12-18,4.08,4.12,3.85,3.9,54394968.0
2014-12-17,4.02,4.2,3.91,4.09,76942240.0
2014-12-16,3.91,4.09,3.86,4.02,70013792.0
2014-12-15,4.03,4.03,3.83,3.91,64027716.0
2014-12-12,3.95,4.23,3.77,4.07,149899072.0
2014-12-11,3.59,3.93,3.55,3.93,107959832.0
2014-12-10,3.37,3.59,3.34,3.57,35769872.0
2014-12-09,3.51,3.63,3.41,3.43,58667732.0
2014-12-08,3.46,3.54,3.39,3.51,28489516.0
2014-12-05,3.64,3.66,3.4,3.47,46869000.0
2014-12-04,3.63,3.66,3.59,3.62,47147948.0
2014-12-03,3.57,3.73,3.56,3.6,49375464.0
2014-12-02,3.56,3.59,3.54,3.56,24898776.0
2014-12-01,3.63,3.63,3.54,3.55,25251100.0
2014-11-28,3.61,3.68,3.56,3.63,40809772.0
2014-11-27,3.57,3.65,3.54,3.62,33343100.0
2014-11-26,3.58,3.59,3.51,3.57,23968612.0
2014-11-25,3.6,3.77,3.56,3.59,35650084.0
2014-11-24,3.56,3.65,3.54,3.6,54031184.0
2014-11-21,3.36,3.56,3.33,3.47,31170766.0
2014-11-20,3.4,3.41,3.35,3.35,10189135.0
2014-11-19,3.45,3.46,3.38,3.42,10210002.0
2014-11-18,3.35,3.46,3.35,3.43,20921692.0
2014-11-17,3.33,3.39,3.31,3.35,11448323.0
2014-11-14,3.36,3.36,3.29,3.32,11424348.0
2014-11-13,3.38,3.4,3.31,3.36,12749419.0
2014-11-12,3.28,3.37,3.28,3.37,10315131.0
2014-11-11,3.48,3.49,3.28,3.3,24304376.0
2014-11-10,3.37,3.54,3.37,3.47,21087888.0
2014-11-07,3.49,3.49,3.37,3.38,19941144.0
2014-11-06,3.52,3.53,3.43,3.47,20120744.0
2014-11-05,3.55,3.57,3.51,3.52,18428616.0
2014-11-04,3.54,3.59,3.5,3.55,27126510.0
2014-11-03,3.55,3.58,3.5,3.56,25394234.0
2014-10-31,3.48,3.67,3.45,3.54,39416856.0
2014-10-30,3.52,3.54,3.44,3.48,34256104.0
2014-10-29,3.5,3.55,3.43,3.53,31328780.0
2014-10-28,3.37,3.49,3.36,3.48,28285780.0
2014-10-27,3.36,3.39,3.25,3.34,21376012.0
2014-10-24,3.5,3.55,3.34,3.36,42277800.0
2014-10-23,3.79,3.8,3.5,3.55,53283232.0
2014-10-22,3.69,3.94,3.67,3.78,70677744.0
2014-10-21,3.66,3.73,3.56,3.69,39518924.0
2014-10-20,3.68,3.68,3.6,3.67,21862186.0
2014-10-17,3.61,3.71,3.6,3.69,31602276.0
2014-10-16,3.74,3.74,3.64,3.64,39014448.0
2014-10-15,3.83,3.88,3.73,3.79,53667288.0
2014-10-14,3.69,4.06,3.66,3.91,134185032.0
2014-10-13,3.65,3.71,3.59,3.69,40370732.0
2014-10-10,3.62,3.75,3.55,3.69,66448236.0
2014-10-09,3.7,3.7,3.58,3.63,51452488.0
2014-10-08,3.62,3.72,3.6,3.7,57510896.0
2014-09-30,3.61,3.64,3.57,3.59,42904028.0
2014-09-29,3.68,3.72,3.58,3.62,90895704.0
2014-09-26,4.0,4.15,3.71,3.73,168474928.0
2014-09-25,3.51,3.93,3.49,3.93,142373680.0
2014-09-24,3.49,3.82,3.46,3.57,147467184.0
2014-09-23,3.52,3.64,3.48,3.53,92172192.0
2014-09-22,3.45,3.61,3.42,3.56,106554280.0
2014-09-19,3.54,3.72,3.45,3.59,149407744.0
2014-09-18,3.73,3.84,3.53,3.61,183455584.0
2014-09-17,3.53,3.71,3.45,3.71,201168224.0
2014-09-16,3.2,3.37,3.2,3.37,56531336.0
2014-09-15,2.84,3.06,2.8,3.06,124392312.0
2014-09-12,2.51,2.78,2.5,2.78,67616536.0
2014-09-11,2.47,2.58,2.47,2.53,39527668.0
2014-09-10,2.46,2.49,2.44,2.47,13383148.0
2014-09-09,2.44,2.48,2.44,2.46,19974420.0
2014-09-05,2.45,2.45,2.42,2.43,16563054.0
2014-09-04,2.43,2.45,2.41,2.45,15843863.0
2014-09-03,2.41,2.44,2.4,2.43,18050272.0
2014-09-02,2.39,2.42,2.37,2.42,13613156.0
2014-09-01,2.34,2.4,2.34,2.4,13219818.0
2014-08-29,2.32,2.34,2.31,2.34,6828842.0
2014-08-28,2.38,2.38,2.31,2.32,11851698.0
2014-08-27,2.32,2.39,2.31,2.39,18830768.0
2014-08-26,2.39,2.4,2.31,2.32,14909499.0
