date,open,high,low,close,volumn
2015-05-25,11.72,11.72,11.72,11.72,3214951.0
2015-05-22,10.65,10.65,10.65,10.65,6440549.0
2015-05-21,9.68,9.68,9.68,9.68,1827882.0
2015-05-20,8.8,8.8,8.8,8.8,1104003.0
2015-05-19,8.0,8.0,8.0,8.0,2750202.0
2015-05-18,7.27,7.27,7.27,7.27,1774423.0
2015-05-15,6.61,6.61,6.61,6.61,2084903.0
2015-05-14,6.01,6.01,6.01,6.01,998905.0
2015-05-13,5.46,5.46,5.46,5.46,686171.0
2015-05-12,4.96,4.96,4.96,4.96,485683.0
2015-05-11,4.51,4.51,4.51,4.51,621512.0
2014-12-26,4.0,4.14,3.98,4.1,37572052.0
2014-12-25,3.98,4.04,3.95,4.0,17277596.0
2014-12-24,4.05,4.05,3.9,3.97,20907016.0
2014-12-23,3.97,4.14,3.9,3.99,30177744.0
2014-12-22,4.08,4.08,3.91,3.94,39007152.0
2014-12-19,4.12,4.28,3.91,4.11,56351948.0
2014-12-18,4.49,4.53,4.24,4.29,54394968.0
2014-12-17,4.42,4.62,4.3,4.5,76942240.0
2014-12-16,4.3,4.5,4.25,4.42,70013792.0
2014-12-15,4.44,4.44,4.21,4.3,64027716.0
2014-12-12,4.35,4.65,4.15,4.48,149899072.0
2014-12-11,3.95,4.32,3.91,4.32,107959832.0
2014-12-10,3.71,3.95,3.68,3.93,35769872.0
2014-12-09,3.86,4.0,3.75,3.77,58667732.0
2014-12-08,3.81,3.9,3.73,3.86,28489516.0
2014-12-05,4.01,4.03,3.74,3.82,46869000.0
2014-12-04,4.0,4.03,3.95,3.98,47147948.0
2014-12-03,3.93,4.1,3.92,3.96,49375464.0
2014-12-02,3.92,3.95,3.9,3.92,24898776.0
2014-12-01,3.99,4.0,3.9,3.91,25251100.0
2014-11-28,3.97,4.05,3.92,4.0,40809772.0
2014-11-27,3.93,4.02,3.9,3.98,33343100.0
2014-11-26,3.94,3.95,3.86,3.93,23968612.0
2014-11-25,3.96,4.15,3.92,3.95,35650084.0
2014-11-24,3.92,4.02,3.9,3.96,54031184.0
2014-11-21,3.7,3.92,3.67,3.82,31170766.0
2014-11-20,3.74,3.75,3.69,3.69,10189135.0
2014-11-19,3.8,3.81,3.72,3.76,10210002.0
2014-11-18,3.69,3.81,3.69,3.78,20921692.0
2014-11-17,3.67,3.73,3.64,3.69,11448323.0
2014-11-14,3.7,3.7,3.62,3.65,11424348.0
2014-11-13,3.72,3.74,3.64,3.7,12749419.0
2014-11-12,3.61,3.71,3.61,3.71,10315131.0
2014-11-11,3.83,3.84,3.61,3.63,24304376.0
2014-11-10,3.71,3.9,3.71,3.82,21087888.0
2014-11-07,3.84,3.84,3.71,3.72,19941144.0
2014-11-06,3.87,3.88,3.77,3.82,20120744.0
2014-11-05,3.91,3.93,3.86,3.87,18428616.0
2014-11-04,3.9,3.95,3.85,3.91,27126510.0
2014-11-03,3.91,3.94,3.85,3.92,25394234.0
2014-10-31,3.83,4.04,3.8,3.9,39416856.0
2014-10-30,3.87,3.9,3.79,3.83,34256104.0
2014-10-29,3.85,3.91,3.77,3.88,31328780.0
2014-10-28,3.71,3.84,3.7,3.83,28285780.0
2014-10-27,3.7,3.73,3.58,3.68,21376012.0
2014-10-24,3.85,3.91,3.68,3.7,42277800.0
2014-10-23,4.17,4.18,3.85,3.91,53283232.0
2014-10-22,4.06,4.34,4.04,4.16,70677744.0
2014-10-21,4.03,4.11,3.92,4.06,39518924.0
2014-10-20,4.05,4.05,3.96,4.04,21862186.0
2014-10-17,3.97,4.08,3.96,4.06,31602276.0
2014-10-16,4.12,4.12,4.01,4.01,39014448.0
2014-10-15,4.22,4.27,4.11,4.17,53667288.0
2014-10-14,4.06,4.47,4.03,4.3,134185032.0
2014-10-13,4.02,4.08,3.95,4.06,40370732.0
2014-10-10,3.98,4.13,3.91,4.06,66448236.0
2014-10-09,4.07,4.07,3.94,3.99,51452488.0
2014-10-08,3.98,4.09,3.96,4.07,57510896.0
2014-09-30,3.97,4.01,3.93,3.95,42904028.0
2014-09-29,4.05,4.09,3.94,3.98,90895704.0
2014-09-26,4.4,4.57,4.08,4.11,168474928.0
2014-09-25,3.86,4.32,3.84,4.32,142373680.0
