公告日期,送股(股),转增(股),派息(税前)(元),进度,除权除息日,股权登记日,红股上市日,查看详细
2015-04-01,0.0,0.0,1.18,预案,--,--,--,查看
2014-06-03,0.0,0.0,1.55,实施,2014-06-09,2014-06-06,--,查看
2013-06-14,0.5,0.0,1.0,实施,2013-06-20,2013-06-19,--,查看
2012-07-04,3.0,0.0,0.4,实施,2012-07-11,2012-07-10,--,查看
2011-06-08,3.0,0.0,0.6,实施,2011-06-14,2011-06-13,--,查看
2010-05-07,5.0,0.0,1.2,实施,2010-05-13,2010-05-12,--,查看
2009-06-19,0.0,0.0,0.8,实施,2009-06-26,2009-06-25,--,查看
2008-04-23,5.0,5.0,1.0,实施,2008-04-29,2008-04-28,2008-04-29,查看
2007-05-22,0.0,0.0,3.5,实施,2007-05-29,2007-05-28,--,查看
2006-06-21,0.0,0.0,1.8,实施,2006-06-28,2006-06-27,--,查看
2005-06-23,0.0,0.0,0.75,实施,2005-06-30,2005-06-29,--,查看
2003-07-17,0.0,0.0,0.8,实施,2003-07-24,2003-07-23,--,查看
2002-08-15,0.0,0.0,1.3,实施,2002-08-19,2002-08-16,--,查看
2001-08-22,0.0,0.0,2.0,实施,2001-08-29,2001-08-28,--,查看
2000-07-15,0.0,0.0,1.0,实施,2000-07-21,2000-07-20,--,查看
1999-07-12,0.0,0.0,2.0,实施,1999-07-21,1999-07-20,--,查看
1998-07-22,1.0,0.0,2.0,实施,1998-07-30,1998-07-29,1998-08-03,查看
1997-06-27,1.538,1.538,0.769,实施,1997-07-09,1997-07-08,1997-07-11,查看
1996-07-22,0.0,0.0,2.0,实施,1996-07-29,1996-07-26,--,查看
1995-07-04,3.0,0.0,1.0,实施,1995-07-11,1995-07-10,1995-07-13,查看
1994-06-08,6.0,0.0,2.0,实施,1994-06-27,1994-06-24,1994-06-30,查看
1993-05-26,3.0,0.0,0.0,实施,1993-06-07,1993-06-04,1993-06-07,查看
公告日期,配股方案(每10股配股股数),配股价格(元),基准股本(万股),除权日,股权登记日,缴款起始日,缴款终止日,配股上市日,募集资金合计(元),查看详细
1997-03-13,3.0,12.0,135620000,1997-03-28,1997-03-27,1997-04-01 00:00:00,1997-04-14,1997-05-12,,查看
1994-12-20,1.5,5.6,90715800,1994-12-27,1994-12-26,1995-01-23 00:00:00,1995-02-24,1995-03-08,,查看
1993-05-26,3.0,12.8,0,1993-06-07,1993-06-04,1993-06-28 00:00:00,1993-07-22,1993-07-05,,查看
