date,open,high,low,close,volumn
2015-05-25,12.2,13.42,12.2,13.42,84199776.0
2015-05-22,11.59,12.54,11.59,12.2,98300608.0
2015-05-21,11.02,11.58,10.95,11.55,68783864.0
2015-05-20,10.93,11.29,10.92,11.04,60738180.0
2015-05-19,10.45,10.85,10.4,10.85,43459560.0
2015-05-18,10.45,10.78,10.16,10.5,36375888.0
2015-05-15,11.11,11.11,10.4,10.5,52899344.0
2015-05-14,11.46,11.56,11.08,11.11,51724656.0
2015-05-13,11.11,11.5,10.94,11.46,62207400.0
2015-05-12,11.2,11.33,10.99,11.1,50198908.0
2015-05-11,11.2,11.34,11.0,11.21,60517188.0
2015-05-08,10.5,10.94,10.39,10.93,33605160.0
2015-05-07,10.47,10.93,9.97,10.43,38355544.0
2015-05-06,10.75,11.11,10.29,10.46,36085444.0
2015-05-05,11.43,11.43,10.69,10.79,43571544.0
2015-05-04,11.76,11.85,11.28,11.41,44949200.0
2015-04-30,11.43,11.96,11.28,11.68,61265572.0
2015-04-29,10.74,11.29,10.7,11.23,48217360.0
2015-04-28,11.39,11.39,10.7,10.84,56618680.0
2015-04-27,11.42,11.76,11.2,11.39,56744148.0
2015-04-24,11.72,11.72,11.0,11.38,70404712.0
2015-04-23,11.85,12.27,11.56,11.73,63339740.0
2015-04-22,11.55,12.18,11.54,11.8,75686696.0
2015-04-21,10.8,11.55,10.8,11.51,97072680.0
2015-04-20,10.6,11.28,10.3,10.75,112973328.0
2015-04-17,10.61,10.82,10.35,10.53,65620848.0
2015-04-16,10.06,10.54,9.9,10.45,58226088.0
2015-04-15,10.5,10.55,9.95,10.07,60240052.0
2015-04-14,10.95,10.95,10.4,10.55,78113056.0
2015-04-13,11.1,11.36,10.75,10.98,84336072.0
2015-04-10,10.89,11.68,10.5,11.1,100593408.0
2015-04-09,10.02,10.98,9.85,10.88,104366880.0
2015-04-08,9.77,10.22,9.58,9.99,99416064.0
2015-04-07,9.08,9.93,8.98,9.76,142529152.0
2015-04-03,8.71,9.06,8.64,9.03,80442208.0
2015-04-02,8.91,8.95,8.65,8.79,75492328.0
2015-04-01,9.05,9.08,8.8,8.9,73873552.0
2015-03-31,9.24,9.33,8.78,8.8,120569864.0
2015-03-30,8.89,9.44,8.72,9.04,178863136.0
2015-03-27,8.41,8.94,8.26,8.94,112068360.0
2015-03-26,7.95,8.32,7.8,8.13,68924272.0
2015-03-25,7.67,7.9,7.57,7.8,52172892.0
2015-03-24,7.8,7.9,7.4,7.65,62259512.0
2015-03-23,7.44,7.93,7.44,7.81,71535160.0
2015-03-20,7.19,7.52,7.16,7.44,64647164.0
2015-03-19,7.25,7.26,7.1,7.19,43117408.0
2015-03-18,7.2,7.26,7.14,7.25,43524200.0
2015-03-17,7.12,7.28,7.12,7.16,54468216.0
2015-03-16,7.01,7.13,6.95,7.1,39669328.0
2015-03-13,6.94,7.07,6.93,6.97,26311756.0
2015-03-12,6.98,7.1,6.92,6.94,43506112.0
2015-03-11,6.83,6.93,6.74,6.92,30902000.0
2015-03-10,6.82,6.96,6.77,6.79,26527908.0
2015-03-09,6.75,6.95,6.61,6.83,33993032.0
2015-03-06,6.62,6.87,6.61,6.76,49195432.0
2015-03-05,6.57,6.67,6.5,6.66,26856722.0
2015-03-04,6.48,6.62,6.45,6.61,24617872.0
2015-03-03,6.63,6.63,6.47,6.5,29363284.0
2015-03-02,6.66,6.69,6.6,6.65,24515304.0
2015-02-27,6.73,6.78,6.55,6.57,25343240.0
2015-02-26,6.47,6.6,6.46,6.6,17530526.0
2015-02-25,6.49,6.54,6.42,6.48,11669839.0
2015-02-17,6.44,6.52,6.44,6.5,14440906.0
2015-02-16,6.43,6.45,6.38,6.43,13830457.0
2015-02-13,6.32,6.5,6.29,6.41,18544220.0
2015-02-12,6.3,6.33,6.25,6.3,8847615.0
2015-02-11,6.25,6.33,6.17,6.3,11004833.0
2015-02-10,6.16,6.24,6.13,6.23,9046672.0
2015-02-09,6.19,6.25,6.13,6.15,9562238.0
2015-02-06,6.3,6.38,6.16,6.23,12847441.0
2015-02-05,6.5,6.58,6.3,6.3,20093172.0
2015-02-04,6.45,6.49,6.33,6.33,13647766.0
2015-02-03,6.42,6.45,6.3,6.42,17881192.0
2015-02-02,6.4,6.44,6.3,6.41,17480548.0
2015-01-30,6.47,6.62,6.39,6.5,24936956.0
2015-01-29,6.47,6.57,6.43,6.48,16889804.0
2015-01-28,6.63,6.67,6.5,6.55,23876180.0
2015-01-27,6.69,6.88,6.58,6.67,58944572.0
2015-01-26,6.35,6.77,6.27,6.64,44919656.0
2015-01-23,6.32,6.42,6.26,6.35,23295136.0
2015-01-22,6.25,6.33,6.19,6.3,21927398.0
2015-01-21,6.06,6.27,6.06,6.25,30622208.0
2015-01-20,5.92,6.08,5.9,6.06,25408852.0
2015-01-19,6.24,6.3,5.85,5.87,52969932.0
2015-01-16,6.53,6.58,6.46,6.5,19789764.0
2015-01-15,6.36,6.55,6.35,6.53,14698078.0
2015-01-14,6.44,6.49,6.36,6.38,13055315.0
2015-01-13,6.45,6.48,6.33,6.44,17296956.0
2015-01-12,6.64,6.64,6.3,6.44,30954016.0
2015-01-09,6.71,6.87,6.7,6.7,34609948.0
2015-01-08,6.9,7.0,6.69,6.78,31136710.0
2015-01-07,6.8,6.95,6.75,6.86,31064550.0
2015-01-06,7.0,7.0,6.75,6.85,56627100.0
2015-01-05,7.1,7.39,7.02,7.08,107864712.0
2014-12-31,6.67,7.08,6.57,7.05,79784360.0
2014-12-30,6.68,6.8,6.55,6.73,43996944.0
2014-12-29,6.53,6.85,6.44,6.64,58913028.0
2014-12-26,6.44,6.53,6.33,6.53,38693872.0
2014-12-25,6.36,6.44,6.34,6.42,19819952.0
2014-12-24,6.34,6.41,6.27,6.37,19810216.0
2014-12-23,6.31,6.5,6.26,6.27,26423212.0
2014-12-22,6.49,6.66,6.24,6.31,44195232.0
2014-12-19,6.76,6.78,6.37,6.55,45251652.0
2014-12-18,6.94,6.98,6.72,6.75,54146900.0
2014-12-17,6.82,7.0,6.77,6.95,86583640.0
2014-12-16,6.78,6.86,6.68,6.85,47810592.0
2014-12-15,6.9,6.97,6.72,6.81,70330520.0
2014-12-12,6.97,7.0,6.71,6.77,67638704.0
2014-12-11,6.67,7.07,6.52,6.99,77510992.0
2014-12-10,6.58,6.74,6.4,6.71,54826004.0
2014-12-09,6.72,7.06,6.56,6.6,95356496.0
2014-12-08,6.85,7.07,6.66,6.83,127008128.0
2014-12-05,7.14,7.29,6.68,6.9,67216344.0
2014-12-04,6.97,7.15,6.85,7.14,57036800.0
2014-12-03,6.9,7.27,6.76,6.97,82500192.0
2014-12-02,6.68,6.96,6.59,6.88,46775056.0
2014-12-01,6.95,7.09,6.68,6.7,61954452.0
2014-11-28,6.57,6.99,6.51,6.94,80461368.0
2014-11-27,6.48,6.62,6.38,6.54,48228352.0
2014-11-26,6.47,6.51,6.35,6.46,35490872.0
2014-11-25,6.23,6.58,6.2,6.44,71890880.0
2014-11-24,6.26,6.37,6.14,6.28,102078696.0
2014-11-21,6.16,6.22,6.02,6.07,41141248.0
2014-11-20,6.18,6.19,6.13,6.16,10562503.0
2014-11-19,6.28,6.28,6.12,6.2,15288970.0
2014-11-18,6.21,6.38,6.18,6.24,18456742.0
2014-11-17,6.24,6.32,6.21,6.25,17134040.0
2014-11-14,6.37,6.37,6.17,6.24,27423732.0
2014-11-13,6.2,6.54,6.2,6.37,52702984.0
2014-11-12,6.07,6.19,6.07,6.15,15433698.0
2014-11-11,6.29,6.34,6.02,6.07,28682112.0
2014-11-10,6.17,6.26,6.13,6.24,18039578.0
2014-11-07,6.33,6.37,6.11,6.13,25310686.0
2014-11-06,6.26,6.42,6.17,6.25,27313832.0
2014-11-05,6.07,6.59,6.07,6.25,51254240.0
2014-11-04,6.17,6.25,6.1,6.13,23188692.0
2014-11-03,6.08,6.36,6.06,6.25,42656820.0
2014-10-31,6.03,6.41,6.03,6.28,86007976.0
2014-10-30,5.9,6.06,5.77,5.83,16636132.0
2014-10-29,5.71,5.95,5.69,5.88,20205372.0
2014-10-28,5.64,5.75,5.61,5.73,15022777.0
2014-10-27,5.55,5.63,5.48,5.6,8579091.0
2014-10-24,5.67,5.72,5.53,5.57,10115356.0
2014-10-23,5.59,5.72,5.52,5.68,13798991.0
2014-10-22,5.8,5.85,5.61,5.61,15503570.0
2014-10-21,5.9,5.96,5.76,5.8,14156961.0
2014-10-20,5.89,5.94,5.82,5.9,12490432.0
2014-10-17,5.99,6.02,5.71,5.88,20406164.0
2014-10-16,6.18,6.25,5.94,5.96,23269944.0
2014-10-15,6.18,6.33,6.15,6.23,15867197.0
2014-10-14,6.32,6.37,6.11,6.14,19597324.0
2014-10-13,6.27,6.37,6.2,6.33,20960128.0
2014-10-10,6.2,6.35,6.08,6.31,27711920.0
2014-10-09,6.04,6.32,6.02,6.23,30271056.0
2014-10-08,5.95,6.03,5.91,6.01,25910316.0
2014-09-30,5.86,5.9,5.8,5.86,12882612.0
2014-09-29,5.88,5.96,5.83,5.85,18310124.0
2014-09-26,5.87,5.95,5.81,5.89,14781885.0
2014-09-25,5.96,6.01,5.83,5.86,21229588.0
2014-09-24,5.95,5.97,5.86,5.96,20239656.0
2014-09-23,5.73,6.08,5.71,5.95,39859536.0
2014-09-22,5.69,5.82,5.63,5.73,27860936.0
2014-09-19,5.6,5.77,5.57,5.72,30986472.0
2014-09-18,5.58,5.68,5.51,5.58,18722648.0
2014-09-17,5.44,5.67,5.39,5.6,29461088.0
2014-09-16,5.6,5.7,5.38,5.41,29739442.0
2014-09-15,5.6,5.65,5.55,5.6,17481600.0
2014-09-12,5.6,5.71,5.53,5.62,20045364.0
2014-09-11,5.51,5.65,5.48,5.62,23775288.0
2014-09-10,5.55,5.7,5.47,5.53,24168292.0
2014-09-09,5.48,5.6,5.42,5.59,24666568.0
2014-09-05,5.39,5.5,5.38,5.46,22226560.0
2014-09-04,5.38,5.46,5.36,5.4,18916838.0
2014-09-03,5.48,5.49,5.33,5.37,25853208.0
2014-09-02,5.44,5.49,5.36,5.45,15440158.0
2014-09-01,5.42,5.44,5.35,5.42,10022745.0
2014-08-29,5.3,5.48,5.28,5.37,16745512.0
2014-08-28,5.28,5.34,5.19,5.29,9801947.0
2014-08-27,5.28,5.35,5.23,5.3,9356569.0
2014-08-26,5.35,5.41,5.26,5.27,21749308.0
2014-08-25,5.51,5.64,5.42,5.43,34447780.0
2014-08-22,5.37,5.58,5.31,5.51,34964764.0
2014-08-21,5.37,5.41,5.25,5.34,25665228.0
2014-08-20,5.4,5.5,5.35,5.38,27309612.0
2014-08-19,5.41,5.55,5.36,5.45,32989892.0
2014-08-18,5.32,5.52,5.23,5.44,41119968.0
2014-08-15,5.18,5.44,5.1,5.31,39652000.0
2014-08-14,5.04,5.27,4.97,5.16,44267244.0
2014-08-13,4.95,5.07,4.93,5.04,24755644.0
2014-08-12,4.92,4.95,4.9,4.95,12637380.0
2014-08-11,4.86,4.96,4.84,4.93,17022602.0
2014-08-08,4.9,4.92,4.84,4.87,7366663.0
2014-08-07,4.95,4.97,4.89,4.9,18040016.0
2014-08-06,4.92,5.03,4.92,4.95,23747876.0
2014-08-05,4.93,4.95,4.89,4.92,11967703.0
2014-08-04,4.88,4.95,4.88,4.92,12698662.0
2014-08-01,4.94,4.98,4.87,4.9,13142117.0
2014-07-31,4.96,4.99,4.88,4.97,14195047.0
2014-07-30,5.0,5.02,4.88,4.9,13517547.0
2014-07-29,4.99,5.07,4.97,5.01,10740216.0
2014-07-28,4.93,5.03,4.92,4.99,14747656.0
2014-07-25,4.96,4.97,4.88,4.95,9675382.0
2014-07-24,4.88,5.02,4.88,4.96,17008284.0
2014-07-23,4.98,4.98,4.84,4.87,10363779.0
2014-07-22,4.89,4.96,4.86,4.92,10077798.0
2014-07-21,4.85,4.97,4.8,4.87,11040405.0
2014-07-18,4.77,4.93,4.74,4.88,17173284.0
2014-07-17,4.85,4.85,4.74,4.81,7345770.0
2014-07-16,4.74,4.87,4.73,4.79,11594272.0
2014-07-15,4.74,4.79,4.69,4.74,11264886.0
2014-07-14,4.69,4.82,4.68,4.78,11120574.0
2014-07-11,4.65,4.72,4.63,4.68,5503966.0
2014-07-10,4.63,4.66,4.6,4.63,4338549.0
2014-07-09,4.77,4.77,4.62,4.63,7758582.0
2014-07-08,4.73,4.79,4.7,4.76,5977547.0
2014-07-07,4.73,4.78,4.69,4.73,9046591.0
2014-07-04,4.76,4.77,4.66,4.72,12571523.0
2014-07-03,4.64,4.93,4.61,4.8,25716424.0
2014-07-02,4.61,4.61,4.54,4.59,5137384.0
2014-07-01,4.58,4.6,4.53,4.59,7779489.0
2014-06-30,4.62,4.66,4.53,4.58,14271321.0
2014-06-27,4.71,4.75,4.57,4.61,15660985.0
2014-06-26,4.39,4.62,4.39,4.57,21746480.0
2014-06-25,4.43,4.43,4.37,4.4,2401311.0
2014-06-24,4.41,4.44,4.38,4.44,3492500.0
2014-06-23,4.43,4.46,4.39,4.4,2830573.0
2014-06-20,4.36,4.45,4.31,4.42,5746238.0
2014-06-19,4.51,4.54,4.33,4.35,10362017.0
2014-06-18,4.58,4.58,4.5,4.52,4149917.0
2014-06-17,4.6,4.61,4.55,4.58,5376523.0
2014-06-16,4.6,4.73,4.54,4.64,12860733.0
2014-06-13,4.59,4.62,4.53,4.6,5729788.0
2014-06-12,4.62,4.62,4.53,4.6,5517232.0
2014-06-11,4.6,4.64,4.54,4.62,7749385.0
2014-06-10,4.63,4.66,4.58,4.64,6317850.0
2014-06-09,4.6,4.71,4.56,4.62,7273063.0
2014-06-06,4.75,4.76,4.69,4.76,5460914.0
2014-06-05,4.7,4.74,4.69,4.74,2657692.0
2014-06-04,4.73,4.78,4.66,4.7,4390565.0
2014-06-03,4.73,4.78,4.69,4.7,7542131.0
2014-05-30,4.84,4.89,4.69,4.71,7264077.0
2014-05-29,4.9,4.94,4.81,4.84,3825148.0
2014-05-28,4.9,4.91,4.82,4.89,6045860.0
2014-05-27,4.91,4.93,4.85,4.91,5396850.0
2014-05-26,4.93,4.94,4.8,4.88,7008406.0
2014-05-23,4.81,4.92,4.77,4.91,11212593.0
2014-05-22,4.7,4.88,4.68,4.76,10702857.0
2014-05-21,4.64,4.73,4.59,4.7,4467376.0
2014-05-20,4.69,4.75,4.6,4.62,5755393.0
2014-05-19,4.68,4.75,4.48,4.7,6321396.0
2014-05-16,4.61,4.72,4.58,4.67,5680752.0
2014-05-15,4.75,4.75,4.61,4.61,6840412.0
2014-05-14,4.86,4.89,4.73,4.76,11206391.0
2014-05-13,4.68,4.8,4.64,4.76,7132541.0
2014-05-12,4.67,4.73,4.52,4.71,8577730.0
2014-05-09,4.68,4.73,4.58,4.62,4643746.0
2014-05-08,4.55,4.72,4.53,4.71,13166372.0
2014-05-07,4.8,4.81,4.56,4.57,16810234.0
2014-05-06,4.79,4.83,4.74,4.82,7891885.0
2014-05-05,4.85,4.95,4.75,4.81,9813540.0
2014-04-30,4.95,4.96,4.78,4.85,10413739.0
2014-04-29,4.85,4.94,4.82,4.89,6433983.0
2014-04-28,4.92,4.93,4.7,4.86,14577371.0
2014-04-25,5.15,5.2,4.92,4.93,16092847.0
2014-04-24,5.05,5.19,4.99,5.05,15774083.0
2014-04-23,4.98,5.11,4.94,5.05,14451819.0
2014-04-22,4.96,5.04,4.87,5.02,15375962.0
2014-04-21,5.1,5.13,4.89,4.97,25905070.0
2014-04-18,5.11,5.2,5.1,5.13,14656721.0
2014-04-17,5.22,5.22,5.1,5.12,17265434.0
2014-04-16,5.1,5.26,5.09,5.18,22306168.0
2014-04-15,5.18,5.22,5.06,5.14,19196836.0
2014-04-14,5.12,5.22,5.06,5.2,27152998.0
2014-04-11,5.14,5.27,5.1,5.13,41021448.0
2014-04-10,5.12,5.2,5.04,5.18,40531896.0
