・变动日期,2014-06-30,2013-12-31,2013-06-20,2013-05-17,2013-05-16,2012-12-31,2012-07-11,2012-06-30,2012-05-24,2012-05-23,2011-12-31,2011-06-30,2011-06-14,2011-05-24,2011-05-20,2011-03-09,2011-03-07,2010-12-31,2010-05-13,2010-05-07,2009-12-31,2009-06-30,2009-02-12,2009-01-20,2008-12-31,2008-04-29,2008-01-30,2007-06-30,2007-01-12,2006-01-12,2005-06-30,2001-12-31,2001-06-30,1998-08-03,1997-07-11,1997-05-12,1995-07-13,1995-03-08,1994-06-30,1993-07-05,1993-06-07,1992-12-31,1992-04-27
・公告日期,2014-08-15,2014-03-15,2013-06-14,2013-05-16,2013-05-16,2013-03-30,2012-07-04,2012-08-11,2012-05-23,2012-05-23,2012-04-18,2011-08-03,2011-06-08,2011-05-21,2011-05-21,2011-03-05,2011-03-05,2011-03-31,2010-05-07,2010-05-07,2010-03-17,2009-08-12,2009-02-11,2009-01-17,2009-04-25,2008-04-23,2008-01-29,2007-08-16,2007-01-09,2006-01-11,2005-08-18,,,1900-01-01,,,,,,1900-01-01,1900-01-01,1900-01-01,
・股本结构图,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
・变动原因,定期报告,定期报告,送、转股,其它上市,股份性质变动,定期报告,送、转股,定期报告,其它上市,股份性质变动,定期报告,定期报告,送、转股,其它上市,股份性质变动,其它上市,股份性质变动,定期报告,送、转股,股份性质变动,定期报告,定期报告,其它上市,其它上市,定期报告,送、转股,其它上市,定期报告,其它上市,股权分置,定期报告,定期报告,定期报告,送、转股,送、转股,配股,送、转股,配股,送、转股,配股,送、转股,定期报告,IPO
・总股本,134999.505万股,134999.505万股,134999.505万股,128570.957万股,128570.957万股,128570.957万股,128570.957万股,98900.736万股,98900.736万股,98900.736万股,98900.736万股,98900.736万股,98900.736万股,76077.489万股,76077.489万股,76077.489万股,76077.489万股,76077.489万股,76077.489万股,50718.326万股,50718.326万股,50718.326万股,50718.326万股,50718.326万股,50718.326万股,50718.326万股,25359.163万股,25359.163万股,25359.163万股,25359.163万股,25359.163万股,25359.163万股,25359.163万股,25359.163万股,23053.785万股,17630.61万股,13562.007万股,10432.313万股,9071.577万股,5669.736万股,4606.66万股,3543.585万股,2531.13万股
  流通股,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    流通A股,133889.714万股,133824.158万股,133595.294万股,127233.613万股,126936.233万股,126537.099万股,126536.904万股,97336.08万股,97336.08万股,97114.051万股,96784.827万股,96784.977万股,96784.977万股,74449.983万股,74249.09万股,74247.59万股,74195.015万股,74089.039万股,74090.539万股,49393.693万股,49332.268万股,49202.965万股,49710.177万股,48599.018万股,46192.141万股,46259.933万股,23129.967万股,21862.009万股,21860.29万股,18934.553万股,15773.794万股,15773.02万股,15773.02万股,15772.992万股,14339.176万股,10971.317万股,8439.475万股,6491.904万股,5645.133万股,3514.208万股,2859.232万股,2199.409万股,1533.15万股
    高管股,1109.79万股,1175.346万股,1404.211万股,1337.344万股,857.543万股,1736.412万股,1736.607万股,1335.852万股,608.602万股,608.602万股,1665.125万股,1664.975万股,1664.975万股,1280.75万股,1310.851万股,1331.025万股,1346.025万股,1452.001万股,1428.827万股,952.551万股,999.526万股,1227.198万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,2.292万股,6.91万股,7.684万股,7.684万股,7.712万股,6.919万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股
    限售A股,0万股,0万股,0万股,0万股,777.181万股,297.445万股,297.445万股,228.804万股,956.054万股,1178.083万股,450.784万股,450.784万股,450.784万股,346.757万股,517.549万股,498.874万股,536.449万股,536.449万股,558.124万股,372.082万股,386.532万股,288.163万股,1008.149万股,2119.309万股,4526.185万股,4458.393万股,2229.196万股,3497.155万股,3498.874万股,6422.318万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股
    流通B股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股
    限售B股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股
