公告日期,送股(股),转增(股),派息(税前)(元),进度,除权除息日,股权登记日,红股上市日,查看详细
2015-04-30,0,0.0,0.0,不分配,--,--,--,查看
2014-04-26,0,0.0,0.0,不分配,--,--,--,查看
2013-04-25,0,0.0,0.0,不分配,--,--,--,查看
2012-02-23,0,0.0,0.0,不分配,--,--,--,查看
2011-04-23,0,0.0,0.0,不分配,--,--,--,查看
2010-04-21,0,0.0,0.0,不分配,--,--,--,查看
2009-04-24,0,0.0,0.0,不分配,--,--,--,查看
2008-04-22,0,0.0,0.0,不分配,--,--,--,查看
2007-04-20,0,0.0,0.0,不分配,--,--,--,查看
2006-08-10,0,5.2,0.0,实施,2006-08-14,2006-08-11,2006-08-14,查看
2006-04-28,0,0.0,0.0,不分配,--,--,--,查看
2005-05-28,0,0.0,0.0,不分配,--,--,--,查看
1997-06-25,3,6.5,0.0,实施,1997-07-03,1997-07-02,1997-07-07,查看
1996-08-28,0,0.0,0.3,实施,1996-09-02,1996-08-30,--,查看
1995-07-21,0,0.0,2.0,实施,1995-08-02,1995-08-01,--,查看
1994-06-15,4,0.0,1.0,实施,1994-06-30,1994-06-29,1994-07-05,查看
1993-05-16,2,0.0,0.0,实施,1993-05-31,1993-05-28,1993-05-31,查看
1900-01-01,2,0.0,0.5,实施,1992-11-09,1992-11-07,1992-11-09,查看
公告日期,配股方案(每10股配股股数),配股价格(元),基准股本(万股),除权日,股权登记日,缴款起始日,缴款终止日,配股上市日,募集资金合计(元),查看详细
1994-06-18,3,4,43316300,1994-06-30,1994-06-29,1994-07-19 00:00:00,1994-08-01,1994-08-11,,查看
1993-05-16,5,9,43316300,1993-05-31,1993-05-28,1993-06-21 00:00:00,1993-07-15,1993-06-28,,查看
