date,open,high,low,close,volumn
2015-05-20,28.92,31.3,28.59,29.17,14172437.0
2015-05-19,28.0,29.11,27.05,28.96,9075779.0
2015-05-18,27.26,29.11,26.58,28.35,15316390.0
2015-05-15,25.33,27.62,24.82,27.3,17088650.0
2015-05-14,25.03,26.58,25.01,25.33,12034506.0
2015-05-13,24.26,25.97,24.26,25.2,12009755.0
2015-05-12,24.01,24.39,23.72,24.22,8607865.0
2015-05-11,23.23,24.52,22.76,24.51,13393501.0
2015-05-08,23.68,24.59,22.97,24.44,5742796.0
2015-05-07,25.65,25.65,23.23,23.68,7003784.0
2015-05-06,26.77,26.77,25.5,25.68,8100621.0
2015-05-05,26.8,27.53,25.55,26.94,6860763.0
2015-05-04,27.13,27.19,25.98,26.0,8242294.0
2015-04-30,24.49,26.4,24.03,26.4,16349990.0
2015-04-29,23.8,24.58,23.74,24.0,7119320.0
2015-04-28,24.54,24.88,23.63,23.9,7448199.0
2015-04-27,24.09,25.32,23.36,24.42,11801298.0
2015-04-24,22.35,24.08,22.08,23.9,12047350.0
2015-04-23,21.42,22.4,21.42,22.35,10930497.0
2015-04-22,20.43,21.62,20.43,21.42,7104218.0
2015-04-21,19.89,20.83,19.89,20.62,5633190.0
2015-04-20,21.11,21.11,20.05,20.43,6675447.0
2015-04-17,21.14,21.74,20.85,21.18,6069586.0
2015-04-16,20.33,21.9,20.08,21.14,5704928.0
2015-04-15,20.7,22.55,19.88,21.03,9234060.0
2015-04-14,21.44,21.49,20.58,20.76,5852417.0
2015-04-13,21.74,22.22,21.28,21.4,10071026.0
2015-04-10,21.74,22.5,21.25,21.82,6893565.0
2015-04-09,21.7,22.97,20.8,21.88,8129085.0
2015-04-08,20.42,22.14,20.07,21.8,11055631.0
2015-04-07,20.93,21.0,20.0,20.57,14622700.0
2015-04-03,19.84,21.01,19.5,20.98,12849760.0
2015-04-02,19.8,20.0,19.18,19.9,7909893.0
2015-04-01,18.95,19.98,18.95,19.79,6965559.0
2015-03-31,18.72,19.53,18.5,19.15,8140415.0
2015-03-30,18.38,20.0,17.85,18.71,12473155.0
2015-03-27,18.0,18.6,17.95,18.47,10678800.0
2015-03-26,17.24,18.51,17.01,18.35,16346114.0
2015-03-25,16.38,17.55,16.25,17.27,13671262.0
2015-03-24,16.77,16.81,15.7,16.4,9811113.0
2015-03-23,16.64,16.9,16.41,16.76,9728919.0
2015-03-20,16.5,16.95,16.29,16.64,8321235.0
2015-03-19,16.7,16.71,16.28,16.51,5356621.0
2015-03-18,16.5,16.97,16.21,16.7,8825253.0
2015-03-17,16.05,17.12,16.05,16.54,13305534.0
2015-03-16,15.5,16.37,15.5,16.02,9863046.0
2015-03-13,15.93,16.0,15.18,15.4,10155833.0
2015-03-12,16.4,16.66,15.71,15.95,10443744.0
2015-03-11,15.55,16.65,15.52,16.4,16106256.0
2015-03-10,15.59,16.21,15.15,15.52,15265862.0
2015-03-09,14.36,15.59,14.36,15.58,22888200.0
2015-03-06,13.36,14.6,13.35,14.34,20000608.0
2015-03-05,13.36,13.44,13.2,13.32,5059675.0
2015-03-04,13.37,13.46,13.15,13.32,5337617.0
2015-03-03,13.25,13.44,13.1,13.16,6207099.0
2015-03-02,13.15,13.33,12.97,13.31,7017963.0
2015-02-27,12.85,13.26,12.76,13.18,6966538.0
2015-02-26,12.6,12.85,12.53,12.81,5279859.0
2015-02-25,12.99,12.99,12.56,12.62,5586992.0
2015-02-17,13.0,13.17,12.77,12.84,5994244.0
2015-02-16,12.65,12.88,12.5,12.84,5991236.0
2015-02-13,12.28,12.71,12.27,12.51,7481413.0
2015-02-12,12.2,12.32,12.1,12.21,5952117.0
2015-02-11,12.02,12.28,11.86,12.27,5974985.0
2015-02-10,12.19,12.37,12.0,12.1,5635580.0
2015-02-09,12.18,12.83,11.8,12.52,9334872.0
2015-02-06,12.51,12.95,12.47,12.47,10582021.0
2015-02-05,14.02,14.15,13.67,13.85,4732322.0
2015-02-04,14.19,14.24,13.98,14.03,3465981.0
2015-02-03,14.5,14.5,14.06,14.18,3913220.0
2015-02-02,14.49,14.6,14.33,14.5,1956909.0
2015-01-30,14.63,14.85,14.34,14.46,2271973.0
2015-01-29,14.65,15.1,14.51,14.63,3250606.0
2015-01-28,14.6,14.87,14.55,14.67,3077745.0
2015-01-27,14.52,14.75,14.46,14.7,4087442.0
2015-01-26,14.66,14.66,14.25,14.6,5683243.0
2015-01-23,15.19,15.82,14.83,14.85,10407864.0
2015-01-22,14.57,15.31,14.57,15.2,6155940.0
2015-01-21,14.49,14.87,14.32,14.68,2377483.0
2015-01-20,14.11,14.52,14.11,14.47,1305838.0
2015-01-19,14.48,14.66,13.96,14.01,1978440.0
2015-01-16,14.49,14.7,14.34,14.51,2063223.0
2015-01-15,14.67,14.74,14.46,14.59,1270019.0
2015-01-14,14.95,14.99,14.61,14.67,1779796.0
2015-01-13,14.39,15.06,14.29,14.95,3315971.0
2015-01-12,14.4,14.45,14.18,14.38,1256981.0
2015-01-09,14.55,14.66,14.42,14.5,1445987.0
2015-01-08,14.58,14.68,14.44,14.58,1741825.0
