date,open,high,low,close,volumn
2015-03-11,24.21,26.87,23.45,26.87,7527035.0
2015-03-10,23.8,24.8,22.9,24.43,6204836.0
2015-03-09,23.79,25.0,22.62,23.77,8153720.0
2015-03-06,22.45,23.55,22.08,23.17,11549921.0
2015-03-05,22.57,23.26,22.0,22.68,21422764.0
2015-03-04,20.41,21.15,20.07,21.15,12501565.0
2015-03-03,18.93,19.31,18.52,19.22,3195803.0
2015-03-02,17.85,19.23,17.85,18.89,4747860.0
2015-02-27,17.63,17.9,17.52,17.85,1471022.0
2015-02-26,17.46,17.91,17.45,17.64,841823.0
2015-02-25,17.9,17.9,17.49,17.64,1066200.0
2015-02-17,16.95,17.92,16.95,17.79,2454224.0
2015-02-16,17.24,17.3,16.91,17.09,1475656.0
2015-02-13,17.3,17.3,17.04,17.24,1383546.0
2015-02-12,17.04,17.35,17.0,17.12,931501.0
2015-02-11,17.17,17.48,17.01,17.13,902800.0
2015-02-10,17.82,17.93,17.17,17.26,3657582.0
2015-02-09,17.37,18.62,16.83,17.72,3147100.0
2015-02-06,16.97,17.36,16.62,17.3,1409914.0
2015-02-05,17.72,17.72,16.97,17.11,1696501.0
2015-02-04,17.66,17.86,17.32,17.52,1555243.0
2015-02-03,17.66,17.76,17.27,17.63,1115699.0
2015-02-02,17.66,17.72,17.04,17.45,1749892.0
2015-01-30,18.96,18.96,17.49,17.57,3293901.0
2015-01-29,17.93,18.33,17.74,18.21,4097477.0
2015-01-28,16.65,18.34,16.53,17.93,4541219.0
2015-01-27,16.68,16.88,16.55,16.74,1820535.0
2015-01-26,16.44,16.94,16.44,16.68,2772201.0
2015-01-23,17.16,17.48,16.55,16.59,2992406.0
2015-01-22,16.06,17.04,16.06,17.02,4064358.0
2015-01-21,15.92,16.28,15.87,16.05,1134382.0
2015-01-20,15.61,16.07,15.61,15.9,1142245.0
2015-01-19,16.35,16.35,15.24,15.57,1515417.0
2015-01-16,16.31,16.41,16.06,16.41,732202.0
2015-01-15,16.28,16.47,15.86,16.29,1187878.0
2015-01-14,16.53,16.76,16.21,16.22,1215776.0
2015-01-13,16.28,16.52,16.07,16.52,1733043.0
2015-01-12,15.97,16.39,15.75,16.22,2057156.0
2015-01-09,15.89,16.19,15.59,15.98,2200325.0
2015-01-08,15.4,16.45,15.17,15.89,2237824.0
2015-01-07,15.08,15.5,14.87,15.4,2148440.0
2015-01-06,14.97,15.24,14.69,15.06,3375457.0
2015-01-05,15.24,15.88,14.9,14.97,2290058.0
2014-12-31,15.17,15.54,15.01,15.24,2558345.0
2014-12-30,15.29,15.93,14.35,14.89,4681969.0
2014-12-29,18.35,18.35,15.72,15.72,7196014.0
2014-12-17,16.76,16.9,16.21,16.68,2774066.0
2014-12-16,16.83,17.24,16.83,16.93,3937179.0
2014-12-15,16.09,17.1,16.01,16.69,2825807.0
2014-12-12,15.88,16.21,15.66,16.08,2592779.0
2014-12-11,15.74,16.07,15.59,15.86,2941787.0
2014-12-10,15.0,15.86,14.59,15.74,2984789.0
2014-12-09,14.28,16.01,13.8,14.95,6459944.0
2014-12-08,15.58,15.58,14.47,14.55,6697521.0
2014-12-05,15.97,15.97,15.17,15.62,2428666.0
2014-12-04,15.64,16.23,15.59,15.99,3039542.0
2014-12-03,15.92,16.03,15.3,15.69,3495974.0
2014-12-02,16.26,16.33,15.7,16.04,3894400.0
2014-12-01,16.74,16.74,15.86,16.06,3794719.0
2014-11-28,17.15,17.17,16.75,16.81,2929503.0
2014-11-27,16.76,17.17,16.15,17.15,3689968.0
2014-11-26,16.55,16.87,16.45,16.68,2264447.0
2014-11-25,16.96,16.96,16.41,16.55,4227417.0
2014-11-24,17.12,17.39,16.9,16.96,3008965.0
2014-11-21,17.04,17.58,16.86,17.1,3873682.0
2014-11-20,16.61,17.59,16.6,17.21,6539248.0
2014-11-19,16.17,16.88,16.07,16.83,5411473.0
2014-11-18,15.85,16.39,15.66,16.21,3748343.0
2014-11-17,15.52,16.0,15.32,15.8,2980298.0
2014-11-14,15.72,15.93,15.31,15.48,1902359.0
2014-11-13,15.76,15.86,15.14,15.76,3688231.0
2014-11-12,15.78,16.24,15.14,15.64,5802268.0
2014-11-11,17.23,17.23,15.72,15.86,7391492.0
2014-11-10,16.21,17.44,16.04,16.9,11153496.0
2014-11-07,14.48,15.92,14.37,15.92,10090537.0
2014-11-06,14.03,14.47,13.94,14.47,3439830.0
2014-11-05,14.04,14.14,13.87,14.04,1823120.0
2014-11-04,13.81,14.28,13.78,14.01,3116988.0
2014-11-03,13.97,14.09,13.69,13.88,2464892.0
2014-10-31,14.17,14.55,13.87,13.9,3257419.0
2014-10-30,13.91,14.17,13.63,14.11,4217978.0
2014-10-29,13.86,14.14,13.61,13.91,8435512.0
2014-10-28,13.01,13.77,12.9,13.66,6357520.0
2014-10-27,12.74,13.22,12.52,12.87,3758932.0
2014-10-24,12.6,13.29,12.59,13.02,4738378.0
2014-10-23,13.18,13.41,12.76,12.89,3257687.0
2014-10-22,13.45,13.72,13.21,13.36,2888246.0
2014-10-21,13.4,13.72,13.18,13.35,3598312.0
2014-10-20,13.45,13.79,12.97,13.33,6568261.0
2014-10-17,13.66,14.1,13.45,13.48,5564116.0
2014-10-16,13.41,14.48,13.11,14.0,12939537.0
2014-10-15,14.18,14.19,13.1,13.6,7820297.0
2014-10-14,13.41,14.19,13.41,13.85,15312515.0
2014-10-13,11.72,12.96,11.59,12.96,8767268.0
2014-10-10,11.1,11.78,10.86,11.78,11175497.0
2014-10-09,11.05,11.21,10.86,11.16,11353198.0
2014-10-08,11.06,11.38,10.9,11.03,9342691.0
2014-09-30,10.88,11.45,10.72,11.14,13964307.0
2014-09-29,10.35,11.24,9.92,11.03,25274160.0
2014-09-26,9.59,10.26,9.42,10.26,40428092.0
2014-09-25,9.33,9.33,9.33,9.33,6039379.0
2014-09-24,8.48,8.48,8.48,8.48,475598.0
2014-09-23,7.71,7.71,7.71,7.71,311167.0
2014-09-22,7.01,7.01,7.01,7.01,177926.0
2014-09-19,6.37,6.37,6.37,6.37,136742.0
2014-06-24,5.73,5.79,5.73,5.79,468321.0
2014-06-23,5.68,5.78,5.67,5.73,537450.0
2014-06-20,5.62,5.71,5.61,5.68,449735.0
2014-06-19,5.82,5.86,5.61,5.62,744440.0
2014-06-18,5.88,5.9,5.82,5.83,647177.0
2014-06-17,5.97,5.98,5.87,5.88,850898.0
2014-06-16,5.97,6.01,5.91,5.97,970813.0
2014-06-13,6.06,6.06,5.92,5.97,741370.0
2014-06-12,5.98,5.98,5.87,5.96,818765.0
2014-06-11,5.93,6.0,5.9,5.99,580576.0
2014-06-10,5.9,5.95,5.86,5.94,362658.0
2014-06-09,5.96,5.99,5.9,5.92,322882.0
2014-06-06,5.9,6.01,5.88,5.95,759096.0
2014-06-05,5.85,5.92,5.82,5.9,692729.0
2014-06-04,5.99,6.01,5.88,5.89,624600.0
2014-06-03,6.01,6.04,5.95,6.03,715517.0
2014-05-30,5.97,6.03,5.88,6.03,922225.0
2014-05-29,6.02,6.09,5.95,5.97,878534.0
2014-05-28,6.07,6.12,6.0,6.07,952353.0
2014-05-27,6.19,6.19,6.05,6.06,809213.0
2014-05-26,6.01,6.15,6.01,6.15,1053430.0
2014-05-23,6.07,6.07,5.92,6.01,1313599.0
2014-05-22,6.07,6.19,6.02,6.08,1086887.0
2014-05-21,6.07,6.12,6.0,6.06,800526.0
2014-05-20,6.06,6.19,6.03,6.06,1445005.0
2014-05-19,6.12,6.12,5.87,6.09,2389577.0
2014-05-16,6.26,6.5,6.03,6.21,5959897.0
