date,open,high,low,close,volumn
2015-03-11,35.1,38.96,34.0,38.96,7527035.0
2015-03-10,34.51,35.96,33.2,35.42,6204836.0
2015-03-09,34.5,36.25,32.8,34.47,8153720.0
2015-03-06,32.55,34.15,32.01,33.6,11549921.0
2015-03-05,32.73,33.73,31.9,32.88,21422764.0
2015-03-04,29.6,30.66,29.1,30.66,12501565.0
2015-03-03,27.45,28.0,26.85,27.87,3195803.0
2015-03-02,25.88,27.88,25.88,27.39,4747860.0
2015-02-27,25.56,25.95,25.4,25.88,1471022.0
2015-02-26,25.31,25.97,25.3,25.57,841823.0
2015-02-25,25.95,25.95,25.36,25.58,1066200.0
2015-02-17,24.57,25.99,24.57,25.8,2454224.0
2015-02-16,25.0,25.08,24.52,24.78,1475656.0
2015-02-13,25.09,25.09,24.7,25.0,1383546.0
2015-02-12,24.71,25.16,24.65,24.83,931501.0
2015-02-11,24.9,25.35,24.67,24.84,902800.0
2015-02-10,25.84,26.0,24.89,25.03,3657582.0
2015-02-09,25.19,27.0,24.4,25.7,3147100.0
2015-02-06,24.61,25.17,24.1,25.09,1409914.0
2015-02-05,25.7,25.7,24.6,24.81,1696501.0
2015-02-04,25.6,25.9,25.12,25.4,1555243.0
2015-02-03,25.6,25.75,25.04,25.56,1115699.0
2015-02-02,25.6,25.7,24.7,25.3,1749892.0
2015-01-30,27.49,27.49,25.36,25.47,3293901.0
2015-01-29,26.0,26.58,25.72,26.4,4097477.0
2015-01-28,24.14,26.59,23.97,26.0,4541219.0
2015-01-27,24.19,24.48,24.0,24.27,1820535.0
2015-01-26,23.83,24.56,23.83,24.19,2772201.0
2015-01-23,24.88,25.35,23.99,24.06,2992406.0
2015-01-22,23.29,24.7,23.29,24.68,4064358.0
2015-01-21,23.09,23.6,23.01,23.27,1134382.0
2015-01-20,22.64,23.3,22.64,23.05,1142245.0
2015-01-19,23.7,23.7,22.1,22.58,1515417.0
2015-01-16,23.65,23.8,23.29,23.8,732202.0
2015-01-15,23.6,23.88,23.0,23.62,1187878.0
2015-01-14,23.97,24.3,23.5,23.52,1215776.0
2015-01-13,23.6,23.96,23.3,23.95,1733043.0
2015-01-12,23.15,23.77,22.83,23.52,2057156.0
2015-01-09,23.04,23.48,22.6,23.17,2200325.0
2015-01-08,22.33,23.85,22.0,23.04,2237824.0
2015-01-07,21.86,22.48,21.56,22.33,2148440.0
2015-01-06,21.7,22.09,21.3,21.83,3375457.0
2015-01-05,22.1,23.03,21.6,21.7,2290058.0
2014-12-31,22.0,22.53,21.77,22.09,2558345.0
2014-12-30,22.17,23.1,20.8,21.59,4681969.0
2014-12-29,26.6,26.6,22.79,22.8,7196014.0
2014-12-17,24.3,24.5,23.5,24.18,2774066.0
2014-12-16,24.4,25.0,24.4,24.55,3937179.0
2014-12-15,23.33,24.8,23.22,24.2,2825807.0
2014-12-12,23.02,23.5,22.7,23.32,2592779.0
2014-12-11,22.82,23.3,22.6,23.0,2941787.0
2014-12-10,21.75,23.0,21.16,22.82,2984789.0
2014-12-09,20.7,23.21,20.01,21.67,6459944.0
2014-12-08,22.59,22.59,20.98,21.1,6697521.0
2014-12-05,23.16,23.16,22.0,22.65,2428666.0
2014-12-04,22.68,23.53,22.6,23.18,3039542.0
2014-12-03,23.08,23.24,22.19,22.75,3495974.0
2014-12-02,23.57,23.68,22.77,23.25,3894400.0
2014-12-01,24.27,24.27,23.0,23.28,3794719.0
2014-11-28,24.86,24.9,24.28,24.37,2929503.0
2014-11-27,24.3,24.9,23.41,24.86,3689968.0
2014-11-26,24.0,24.46,23.85,24.18,2264447.0
2014-11-25,24.59,24.59,23.8,24.0,4227417.0
2014-11-24,24.82,25.22,24.5,24.59,3008965.0
2014-11-21,24.7,25.49,24.45,24.8,3873682.0
2014-11-20,24.08,25.5,24.07,24.96,6539248.0
