・变动日期,2015-03-13,2015-03-06,2015-02-06,2013-05-28,2012-12-31,2010-07-23,2007-12-28,2007-05-11,2005-12-13,2004-12-22,2003-12-31,2003-06-30,2000-06-30,1999-06-30,1998-12-31,1997-12-31,1996-09-09,1995-09-01,1994-10-31,1994-06-21,1993-06-28,1993-05-31,1992-05-07
・公告日期,2015-03-07,2015-03-07,2015-02-05,2013-05-21,2012-12-28,2010-07-22,2007-12-26,2007-05-10,2005-12-09,2004-12-23,1900-01-01,,,,,,,,,,1900-01-01,1900-01-01,
・股本结构图,,,,,,,,,,,,,,,,,,,,,,,
・变动原因,送、转股,股份性质变动,增发,送、转股,增发,其它上市,其它上市,其它上市,股权分置,股份性质变动,股份性质变动,定期报告,定期报告,股份性质变动,股份性质变动,定期报告,送、转股,送、转股,配股,送、转股,配股,送、转股,IPO
・总股本,80314.431万股,55389.263万股,55389.263万股,30360.164万股,15180.082万股,7365.321万股,7365.321万股,7365.321万股,7365.321万股,7365.321万股,7365.321万股,7365.321万股,7365.321万股,7365.321万股,7365.321万股,7365.321万股,7365.321万股,5665.631万股,5150.574万股,4478.76万股,3445.2万股,2732.4万股,2376万股
  流通股,,,,,,,,,,,,,,,,,,,,,,,
    流通A股,21359.404万股,14730.624万股,14730.624万股,14730.624万股,7365.312万股,7365.312万股,5171.571万股,4803.305万股,4234.86万股,3529.057万股,3529.057万股,3529.057万股,3529.057万股,3529.057万股,3529.057万股,3529.057万股,3529.057万股,2714.659万股,2467.872万股,2145.976万股,1650.76万股,1309.218万股,1138.45万股
    高管股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股
    限售A股,58955.027万股,40658.639万股,40658.639万股,15629.54万股,7814.77万股,0万股,2193.75万股,2562.016万股,3130.461万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股
    流通B股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股
    限售B股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股
    流通H股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股
    国家股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,706.635万股,611.52万股,856.833万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股
      基金持股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股
    转配股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股
    内部职工股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股
    优先股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股,0万股
