公告日期,送股(股),转增(股),派息(税前)(元),进度,除权除息日,股权登记日,红股上市日,查看详细
2015-03-07,0.0,4.5,0.0,实施,2015-03-13,2015-03-12,2015-03-13,查看
2014-03-29,0.0,0.0,0.0,不分配,--,--,--,查看
2013-05-21,0.0,10.0,0.0,实施,2013-05-28,2013-05-27,2013-05-28,查看
2012-03-03,0.0,0.0,0.0,不分配,--,--,--,查看
2011-02-25,0.0,0.0,0.0,不分配,--,--,--,查看
2010-03-27,0.0,0.0,0.0,不分配,--,--,--,查看
2009-03-07,0.0,0.0,0.0,不分配,--,--,--,查看
2008-03-21,0.0,0.0,0.0,不分配,--,--,--,查看
2007-03-29,0.0,0.0,0.0,不分配,--,--,--,查看
2006-02-25,0.0,0.0,0.0,不分配,--,--,--,查看
2005-03-12,0.0,0.0,0.0,不分配,--,--,--,查看
1996-08-31,0.0,3.0,0.0,实施,1996-09-05,1996-09-04,1996-09-09,查看
1995-08-22,1.0,0.0,0.0,实施,1995-08-30,1995-08-29,1995-09-01,查看
1994-05-31,2.0,1.0,0.5,实施,1994-06-16,1994-06-15,1994-06-21,查看
1993-05-19,1.5,0.0,0.5,实施,1993-05-31,1993-05-28,1993-05-31,查看
公告日期,配股方案(每10股配股股数),配股价格(元),基准股本(万股),除权日,股权登记日,缴款起始日,缴款终止日,配股上市日,募集资金合计(元),查看详细
1994-09-06,1.5,3,44787600,1994-09-19,1994-09-16,1994-10-06 00:00:00,1994-10-19,1994-10-31,,查看
1993-05-19,3.0,10,0,1993-05-31,1993-05-28,1993-06-21 00:00:00,1993-07-15,1993-06-28,,查看
