date,open,high,low,close,volumn
2015-05-25,20.26,21.14,20.26,20.86,94107048.0
2015-05-22,19.76,20.48,19.76,20.25,80224400.0
2015-05-21,19.47,19.99,19.38,19.7,53687856.0
2015-05-20,19.8,20.26,19.33,19.47,62086272.0
2015-05-19,19.1,19.75,18.83,19.65,57937548.0
2015-05-18,18.64,19.2,18.44,18.98,55924112.0
2015-05-15,19.32,19.37,18.56,18.71,47156904.0
2015-05-14,19.76,19.85,18.89,19.22,88150592.0
2015-05-13,19.9,20.28,19.45,19.95,61468684.0
2015-05-12,19.96,20.67,19.64,19.84,70980456.0
2015-05-11,19.46,20.05,19.12,19.76,67727944.0
2015-05-08,19.22,19.51,18.55,19.19,77755680.0
2015-05-07,21.24,21.39,19.31,19.31,92372848.0
2015-05-06,21.19,22.31,20.87,21.45,62035036.0
2015-05-05,22.13,22.13,20.49,21.16,60387892.0
2015-05-04,21.72,22.01,20.96,21.71,57245016.0
2015-04-30,20.5,22.21,20.5,21.72,101607408.0
2015-04-29,19.56,21.22,19.27,20.45,84151632.0
2015-04-28,20.13,20.14,19.01,19.35,67213472.0
2015-04-27,20.56,20.75,19.51,19.9,86323008.0
2015-04-24,20.38,21.04,19.99,20.47,95932528.0
2015-04-23,18.48,20.32,18.48,20.32,127921928.0
2015-04-22,17.95,18.67,17.79,18.47,79109576.0
2015-04-21,17.38,17.8,17.38,17.75,51371880.0
2015-04-20,17.95,18.04,17.28,17.37,86785528.0
2015-04-17,17.68,18.24,17.59,18.06,81225432.0
2015-04-16,17.46,17.94,17.28,17.67,50047432.0
2015-04-15,18.05,18.37,17.24,17.67,67199120.0
2015-04-14,18.11,18.43,17.75,17.93,56590372.0
2015-04-13,18.54,18.72,18.06,18.21,63291320.0
2015-04-10,18.17,18.72,17.96,18.23,74504608.0
2015-04-09,18.22,18.35,17.08,17.77,72662000.0
2015-04-08,17.71,17.85,17.01,17.42,68237512.0
2015-04-07,17.76,18.35,17.47,17.73,77852592.0
2015-04-03,16.96,17.83,16.87,17.65,81372840.0
2015-04-02,17.33,17.45,16.82,17.07,58385888.0
2015-04-01,16.49,17.7,16.45,17.21,103332592.0
2015-03-31,16.34,16.54,16.03,16.21,68189312.0
2015-03-30,16.34,16.39,15.97,16.16,65458816.0
2015-03-27,15.78,16.06,15.55,16.01,42522152.0
2015-03-26,15.71,16.09,15.43,15.72,48874344.0
2015-03-25,16.0,16.0,15.62,15.73,53009188.0
2015-03-24,16.19,16.36,15.53,16.09,82877240.0
2015-03-23,16.17,16.34,15.92,16.12,78895904.0
2015-03-20,16.09,16.27,15.71,16.12,60351776.0
2015-03-19,16.12,16.45,15.94,16.12,54666148.0
