date,open,high,low,close,volumn
2015-05-25,20.87,21.78,20.87,21.49,94107048.0
2015-05-22,20.36,21.1,20.36,20.86,80224400.0
2015-05-21,20.06,20.59,19.97,20.3,53687856.0
2015-05-20,20.4,20.87,19.91,20.06,62086272.0
2015-05-19,19.68,20.35,19.4,20.24,57937548.0
2015-05-18,19.2,19.78,19.0,19.55,55924112.0
2015-05-15,19.9,19.95,19.12,19.27,47156904.0
2015-05-14,20.36,20.45,19.46,19.8,88150592.0
2015-05-13,20.5,20.89,20.04,20.55,61468684.0
2015-05-12,20.56,21.29,20.23,20.44,70980456.0
2015-05-11,20.05,20.66,19.7,20.36,67727944.0
2015-05-08,19.8,20.1,19.11,19.77,77755680.0
2015-05-07,21.88,22.04,19.89,19.89,92372848.0
2015-05-06,21.83,22.98,21.5,22.1,62035036.0
2015-05-05,22.8,22.8,21.11,21.8,60387892.0
2015-05-04,22.38,22.67,21.59,22.37,57245016.0
2015-04-30,21.12,22.88,21.12,22.38,101607408.0
2015-04-29,20.15,21.86,19.85,21.07,84151632.0
2015-04-28,20.74,20.75,19.58,19.93,67213472.0
2015-04-27,21.18,21.38,20.1,20.5,86323008.0
2015-04-24,21.0,21.68,20.59,21.09,95932528.0
2015-04-23,19.04,20.93,19.04,20.93,127921928.0
2015-04-22,18.49,19.23,18.33,19.03,79109576.0
2015-04-21,17.91,18.34,17.91,18.29,51371880.0
2015-04-20,18.49,18.58,17.8,17.89,86785528.0
2015-04-17,18.21,18.79,18.12,18.61,81225432.0
2015-04-16,17.99,18.48,17.8,18.2,50047432.0
2015-04-15,18.6,18.92,17.76,18.2,67199120.0
2015-04-14,18.66,18.99,18.29,18.47,56590372.0
2015-04-13,19.1,19.29,18.61,18.76,63291320.0
2015-04-10,18.72,19.29,18.5,18.78,74504608.0
2015-04-09,18.77,18.9,17.6,18.31,72662000.0
2015-04-08,18.25,18.39,17.52,17.95,68237512.0
2015-04-07,18.3,18.9,18.0,18.27,77852592.0
2015-04-03,17.47,18.37,17.38,18.18,81372840.0
2015-04-02,17.85,17.98,17.33,17.59,58385888.0
2015-04-01,16.99,18.23,16.95,17.73,103332592.0
2015-03-31,16.83,17.04,16.51,16.7,68189312.0
2015-03-30,16.83,16.88,16.45,16.65,65458816.0
2015-03-27,16.26,16.54,16.02,16.49,42522152.0
2015-03-26,16.18,16.58,15.9,16.19,48874344.0
2015-03-25,16.48,16.48,16.09,16.21,53009188.0
2015-03-24,16.68,16.85,16.0,16.58,82877240.0
2015-03-23,16.66,16.83,16.4,16.61,78895904.0
2015-03-20,16.58,16.76,16.18,16.61,60351776.0
2015-03-19,16.61,16.95,16.42,16.61,54666148.0
2015-03-18,16.51,16.71,16.41,16.61,55244628.0
2015-03-17,16.2,17.16,15.9,16.74,90776320.0
2015-03-16,15.93,16.38,15.84,16.2,57029084.0
2015-03-13,15.85,16.08,15.56,15.88,40205008.0
2015-03-12,15.97,16.1,15.48,15.63,39834316.0
2015-03-11,16.16,16.3,15.8,15.88,54393352.0
2015-03-10,15.19,16.66,15.18,16.11,96467040.0
2015-03-09,15.05,15.35,14.8,15.15,43946440.0
