股票代码,股票名称,最新日期,最新价格,最新净资产价格,最新价格与净资产比值,最新季度每股收益,市盈率
000001,平安银行,2015-07-08,13.19,9.97,1.323,0.41,8.043
000002,万  科Ａ,2015-07-08,13.26,8.05,1.647,0.059,56.186
000004,国农科技,2015-07-08,22.22,0.9339,23.793,-0.0221,-251.357
000005,世纪星源,2015-07-07,5.42,0.7236,7.49,-0.0088,-153.977
000006,深振业Ａ,2015-07-08,9.25,3.2123,2.88,0.1494,15.479
000007,零七股份,2015-05-20,29.17,1.515,19.254,-0.0211,-345.616
000008,神州高铁,2015-07-03,26.6,3.4555,7.698,0.0766,86.815
000009,中国宝安,2015-07-06,10.7,2.3408,4.571,0.03,89.167
000010,深华新,2015-07-06,7.4,0.9255,7.996,-0.0037,-500.0
000011,深物业A,2015-07-08,7.91,3.4825,2.271,0.0006,3295.833
000012,南  玻Ａ,2015-07-08,11.46,0.0,无法计算,0.0,无法计算
000014,沙河股份,2015-07-08,12.74,3.3032,3.857,0.0017,1873.529
000016,深康佳Ａ,2015-06-11,30.17,3.4148,8.835,0.0064,1178.516
000017,深中华A,2015-07-08,10.21,0.0221,461.991,0.0005,5105.0
000018,中冠A,2015-07-08,19.47,0.7742,25.149,-0.002,-2433.75
000019,深深宝Ａ,2015-07-08,10.37,3.193,3.248,-0.0316,-82.041
000020,深华发Ａ,2015-07-06,18.4,0.9954,18.485,0.0018,2555.556
000021,深科技,2015-07-07,9.01,3.5264,2.555,0.0393,57.316
000022,深赤湾Ａ,2015-04-22,26.69,6.5436,4.079,0.159,41.965
000023,深天地Ａ,2015-07-06,17.91,2.5982,6.893,-0.01,-447.75
000024,招商地产,2015-04-02,31.96,12.3277,2.593,0.25,31.96
000025,特  力Ａ,2015-07-08,10.98,2.7791,3.951,0.0032,857.813
000026,飞亚达Ａ,2015-07-08,9.47,4.2823,2.211,0.114,20.768
000027,深圳能源,2015-07-08,7.02,6.8594,1.023,0.1378,12.736
000028,国药一致,2015-07-08,52.49,13.6823,3.836,0.543,24.167
000029,深深房Ａ,2015-07-08,7.16,2.1609,3.313,0.0246,72.764
000030,富奥股份,2015-07-08,10.97,3.4419,3.187,0.12,22.854
000031,中粮地产,2015-07-08,10.79,3.2948,3.275,0.04,67.438
000032,深桑达Ａ,2015-07-08,11.03,3.8305,2.88,0.002,1378.75
000033,*ST新都,2015-04-29,10.38,-0.557,-18.636,-0.0177,-146.61
000034,深信泰丰,2015-03-20,9.2,0.5269,17.461,0.064,35.938
000035,中国天楹,2015-06-16,23.43,4.6545,5.034,0.07,83.679
000036,华联控股,2015-07-08,4.24,1.6622,2.551,-0.008,-132.5
000037,深南电Ａ,2015-07-08,7.06,1.9613,3.6,-0.15,-11.767
000038,深大通,2015-03-23,27.04,1.1356,23.811,-0.006,-1126.667
000039,中集集团,2015-07-08,18.21,8.5453,2.131,0.1861,24.463
000040,宝安地产,2015-07-06,9.69,2.7178,3.565,0.014,173.036
000042,中洲控股,2015-07-08,17.62,7.8532,2.244,0.9634,4.572
000043,中航地产,2015-07-08,8.14,5.1547,1.579,-0.1023,-19.892
000045,深纺织Ａ,2015-07-08,9.45,4.3108,2.192,0.0086,274.709
000046,泛海控股,2015-07-08,11.0,2.1024,5.232,0.0566,48.587
000048,康达尔,2015-07-08,13.56,1.3396,10.122,0.0153,221.569
000049,德赛电池,2015-07-08,38.15,3.9041,9.772,0.288,33.116
000050,深天马Ａ,2015-07-06,15.4,7.312,2.106,0.1142,33.713
000055,方大集团,2015-07-06,9.34,1.6536,5.648,0.0205,113.902
000056,深国商,2015-07-07,18.14,7.1954,2.521,0.02,226.75
000058,深 赛 格,2015-07-07,11.27,1.6824,6.699,0.0272,103.585
000059,*ST华锦,2015-07-08,7.57,5.275,1.435,-0.09,-21.028
000060,中金岭南,2015-07-07,10.98,3.2928,3.335,0.028,98.036
000061,农 产 品,2015-07-08,11.51,2.8781,3.999,-0.0032,-899.219
000062,深圳华强,2015-07-08,30.29,3.6139,8.382,0.078,97.083
000063,中兴通讯,2015-07-08,17.96,9.61,1.869,0.24,18.708
000065,北方国际,2015-07-08,22.91,3.8741,5.914,0.09,63.639
000066,长城电脑,2015-06-17,21.54,1.8903,11.395,-0.0654,-82.339
